line_id,station_id,name,wgs_lng,wgs_lat
07,09,大学城南,113.3950252,23.04591521
08,14,凤凰新村,113.2508935,23.09711462
08,15,沙园,113.2551646,23.09121698
08,16,宝岗大道,113.26441570000001,23.08858677
08,18,晓港,113.2765179,23.09568688
08,19,中大,113.2877463,23.09470733
08,20,鹭江,113.30286979999998,23.09797551
08,21,客村,113.31516299999998,23.09890909
08,22,赤岗,113.329549,23.09902391
08,23,磨碟沙,113.3360071,23.10121359
08,24,新港东,113.3516716,23.10123984
08,25,琶洲,113.3611591,23.10109873
30,01,广州东站,113.3188729,23.152627600000002
30,02,林和西,113.31839509999999,23.14396082
30,03,体育西路,113.3160915,23.13371546
30,02,机场南,113.29753079999999,23.38877545
30,04,人和,113.29061850000001,23.33790206
30,05,龙归,113.29551599999999,23.29139726
30,06,白云大道北,113.293227,23.22481081
30,07,永泰,113.3010106,23.22283683
30,08,同和,113.32073759999999,23.19986405
30,09,京溪南方医院,113.32067109999998,23.18782166
30,10,梅花园,113.31497730000001,23.17802926
30,11,燕塘,113.3220558,23.16278585
60,01,魁奇路,113.1031632,22.996733300000002
60,02,季华园,113.1030685,23.00969972
60,03,同济路,113.10286550000001,23.02158567
60,04,祖庙,113.1067684,23.02961751
60,05,普君北路,113.1173043,23.03018908
60,06,朝安,113.12825430000001,23.03018154
60,07,桂城,113.13588600000001,23.03412609
60,08,南桂路,113.14863079999999,23.03657213
60,09,虫雷岗,113.1499246,23.0455823
60,10,千灯湖,113.1501136,23.05760446
60,11,金融高新区,113.1530,23.0686
60,12,龙溪,113.18729850000001,23.06858529
60,13,菊树,113.207274,23.06892291
60,14,西朗,113.226701,23.06795116
60,15,鹤洞,113.234424,23.07499125
60,16,沙涌,113.2417236,23.08608123
60,18,燕岗,113.2653237,23.07921094
60,22,澜石,113.10175259999998,22.98685526
60,23,世纪莲,113.10895249999999,22.967765
60,24,东平,113.12371170000002,22.96788704
60,25,新城东,113.1350,22.9615
68,01,林和西,113.31839509999999,23.14396082
68,02,体育中心南,113.3185,23.1367
68,03,天河南,113.31874440000001,23.1339214
68,04,黄埔大道,113.31896540000001,23.12951359
68,05,妇儿中心,113.31926299999999,23.1251104
68,06,花城大道,113.3192,23.1210
68,07,大剧院,113.3192915,23.11817878
68,08,海心沙,113.31893020000001,23.11412185
68,09,广州塔,113.31783300000001,23.1088155
30,03,高增,113.2901, 23.3575
