season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total,team2
2013,Hellas Verona (10.),,10,3,13,1,9,13,9,4,62,Hellas Verona
2013,Parma Calcio 1913 (6.),,8,8,10,2,4,8,11,7,58,Parma Calcio
2013,Torino FC (7.),,7,6,5,2,14,13,8,3,58,Torino FC
2013,AC Milan (8.),,12,9,3,0,9,8,13,3,57,AC Milan
2013,SS Lazio (9.),,8,10,7,0,8,9,6,6,54,SS Lazio
2013,UC Sampdoria (12.),,5,8,4,0,9,10,8,4,48,UC Sampdoria
2013,Udinese Calcio (14.),,5,5,10,0,8,8,8,2,46,Udinese Calcio
2013,Atalanta BC (11.),,1,9,6,1,6,7,10,3,43,Atalanta BC
2013,US Sassuolo (17.),,4,9,6,1,5,9,7,2,43,US Sassuolo
2013,Genoa CFC (13.),,5,7,5,0,5,8,11,0,41,Genoa CFC
2013,AS Livorno (20.),,5,7,6,1,6,8,5,1,39,AS Livorno
2013,Cagliari Calcio (15.),,1,6,7,0,3,3,12,2,34,Cagliari Calcio
2013,Chievo Verona (16.),,8,4,4,1,5,6,4,2,34,Chievo Verona
2013,Calcio Catania (18.),,5,7,3,0,7,7,4,1,34,Calcio Catania
2013,Bologna FC 1909 (19.),,4,3,6,0,4,5,6,0,28,Bologna FC
2014,Juventus FC (1.),,11,11,14,2,7,15,8,4,72,Juventus FC
2014,SS Lazio (3.),,9,9,16,1,9,9,15,3,71,SS Lazio
2014,SSC Napoli (5.),,7,13,5,1,9,20,12,3,70,SSC Napoli
2014,Genoa CFC (6.),,7,12,9,1,13,6,8,6,62,Genoa CFC
2014,ACF Fiorentina (4.),,4,8,11,0,11,12,13,2,61,ACF Fiorentina
2014,Inter Milan (8.),,6,10,8,0,10,12,12,1,59,Inter Milan
2014,AC Milan (10.),,6,12,9,1,12,8,8,0,56,AC Milan
2014,AS Roma (2.),,7,10,9,1,8,7,8,4,54,AS Roma
2014,US Palermo (11.),,13,13,8,1,2,9,4,3,53,US Palermo
2014,US Sassuolo (12.),,5,12,5,1,9,9,7,1,49,US Sassuolo
2014,Hellas Verona (13.),,7,6,7,1,7,10,9,2,49,Hellas Verona
2014,UC Sampdoria (7.),,4,5,6,1,10,8,12,2,48,UC Sampdoria
2014,Torino FC (9.),,5,10,6,0,8,13,3,3,48,Torino FC
2014,Cagliari Calcio (18.),,7,7,12,0,6,4,10,2,48,Cagliari Calcio
2014,FC Empoli (15.),,5,6,8,1,15,6,4,1,46,FC Empoli
2014,Udinese Calcio (16.),,4,8,7,1,9,9,5,0,43,Udinese Calcio
2014,Atalanta BC (17.),,4,8,5,1,9,5,4,2,38,Atalanta BC
2014,AC Cesena (19.),,3,6,6,0,4,7,8,2,36,AC Cesena
2014,Parma Calcio 1913 (20.),,3,7,5,1,3,8,6,0,33,Parma Calcio
2014,Chievo Verona (14.),,6,1,5,0,5,3,8,0,28,Chievo Verona
2015,AS Roma (3.),,12,13,10,0,13,14,18,3,83,AS Roma
2015,SSC Napoli (2.),,12,11,12,1,15,13,14,2,80,SSC Napoli
2015,Juventus FC (1.),,8,9,17,0,8,12,19,2,75,Juventus FC
2015,ACF Fiorentina (5.),,10,10,11,1,8,6,11,3,60,ACF Fiorentina
2015,SS Lazio (8.),,8,4,6,0,1,15,13,5,52,SS Lazio
2015,Torino FC (12.),,6,6,9,0,10,12,5,4,52,Torino FC
2015,Inter Milan (4.),,4,7,10,1,10,8,8,2,50,Inter Milan
2015,US Sassuolo (6.),,7,10,13,0,7,6,4,2,49,US Sassuolo
2015,AC Milan (7.),,7,7,8,1,10,7,7,2,49,AC Milan
2015,UC Sampdoria (15.),,5,5,10,0,10,6,9,3,48,UC Sampdoria
2015,Genoa CFC (10.),,8,5,3,1,6,10,10,2,45,Genoa CFC
2015,Chievo Verona (9.),,9,5,5,0,8,7,8,1,43,Chievo Verona
2015,Atalanta BC (13.),,4,7,8,1,6,5,8,2,41,Atalanta BC
2015,FC Empoli (11.),,4,8,6,0,11,6,4,1,40,FC Empoli
2015,US Palermo (17.),,5,9,3,0,6,5,8,2,38,US Palermo
2015,Carpi FC 1909 (18.),,1,6,5,2,4,10,7,2,37,Carpi FC
2015,Udinese Calcio (16.),,5,5,7,0,8,2,8,0,35,Udinese Calcio
2015,Frosinone Calcio (19.),,5,6,6,0,7,4,5,2,35,Frosinone Calcio
2015,Hellas Verona (20.),,2,1,7,0,6,10,5,3,34,Hellas Verona
2015,Bologna FC 1909 (14.),,8,5,4,0,4,3,7,2,33,Bologna FC
2016,SSC Napoli (3.),,11,10,16,0,24,20,10,3,94,SSC Napoli
2016,AS Roma (2.),,13,8,12,2,17,15,19,4,90,AS Roma
2016,Juventus FC (1.),,14,11,12,0,11,17,9,3,77,Juventus FC
2016,SS Lazio (5.),,10,12,8,4,11,12,15,2,74,SS Lazio
2016,Inter Milan (7.),,5,9,16,0,10,14,12,6,72,Inter Milan
2016,Torino FC (9.),,10,8,8,2,17,8,16,2,71,Torino FC
2016,ACF Fiorentina (8.),,2,9,11,0,10,16,11,4,63,ACF Fiorentina
2016,Atalanta BC (4.),,10,11,10,1,6,12,10,2,62,Atalanta BC
2016,US Sassuolo (12.),,9,8,11,0,12,9,11,0,60,US Sassuolo
2016,AC Milan (6.),,5,4,11,0,9,13,13,2,57,AC Milan
2016,Cagliari Calcio (11.),,7,6,10,0,9,9,11,3,55,Cagliari Calcio
2016,UC Sampdoria (10.),,5,7,6,0,7,9,11,4,49,UC Sampdoria
2016,Udinese Calcio (13.),,5,5,9,0,9,10,5,4,47,Udinese Calcio
2016,Chievo Verona (14.),,4,2,9,0,8,10,10,0,43,Chievo Verona
2016,Bologna FC 1909 (15.),,7,4,5,1,10,8,3,2,40,Bologna FC
2016,Genoa CFC (16.),,6,4,4,0,8,4,10,2,38,Genoa CFC
2016,Delfino Pescara 1936 (20.),,6,4,5,0,2,6,9,3,35,Delfino Pescara
2016,FC Crotone (17.),,4,9,3,1,4,3,6,4,34,FC Crotone
2016,US Palermo (19.),,7,3,5,0,5,3,9,1,33,US Palermo
2016,FC Empoli (18.),,4,3,7,0,3,4,7,1,29,FC Empoli
