date,weekday,league,home_away,half,overtime
2017-04-01,周六030,德甲,沙尔克04(+1)VS多特蒙德,0:0,1:1
2017-04-01,周六029,德甲,拜仁(-2)VS奥格斯堡,2:0,6:0
2017-04-01,周五023,德甲,柏林赫塔(+1)VS霍芬海姆,1:1,1:3
2017-03-20,周日043,德甲,门兴(+1)VS拜仁,0:0,0:1
2017-03-19,周日036,德甲,美因茨(-1)VS沙尔克04,0:0,0:1
2017-03-19,周六063,德甲,法兰克福(-1)VS汉堡,0:0,0:0
2017-03-18,周六028,德甲,不来梅(+1)VS莱红牛,1:0,3:0
2017-03-18,周六027,德甲,沃夫斯堡(-1)VS达姆施塔,1:0,1:0
2017-03-18,周六026,德甲,霍芬海姆(-1)VS勒沃库森,0:0,1:0
2017-03-18,周六025,德甲,奥格斯堡(-1)VS弗赖堡,1:1,1:1
2017-03-18,周六024,德甲,科隆(-1)VS柏林赫塔,3:0,4:2
2017-03-18,周五024,德甲,多特蒙德(-1)VS因戈施塔,1:0,1:0
2017-03-13,周日047,德甲,汉堡(+1)VS门兴,1:1,2:1
2017-03-12,周日038,德甲,沙尔克04(-1)VS奥格斯堡,3:0,3:0
2017-03-12,周六061,德甲,因戈施塔(-1)VS科隆,1:1,2:2
2017-03-11,周六025,德甲,达姆施塔(+1)VS美因茨,2:1,2:1
2017-03-11,周六024,德甲,弗赖堡(+1)VS霍芬海姆,0:0,1:1
2017-03-11,周六023,德甲,莱红牛(-1)VS沃夫斯堡,0:1,0:1
2017-03-11,周六022,德甲,柏林赫塔(+1)VS多特蒙德,1:0,2:1
2017-03-11,周六021,德甲,拜仁(-2)VS法兰克福,2:0,3:0
2017-03-11,周五028,德甲,勒沃库森(-1)VS不来梅,1:0,1:1
2017-03-06,周日045,德甲,汉堡(-1)VS柏林赫塔,0:0,1:0
2017-03-05,周日036,德甲,法兰克福(-1)VS弗赖堡,1:1,1:2
2017-03-05,周六070,德甲,门兴(-1)VS沙尔克04,1:1,4:2
2017-03-04,周六033,德甲,不来梅(-1)VS达姆施塔,0:0,2:0
2017-03-04,周六032,德甲,霍芬海姆(-1)VS因戈施塔,1:1,5:2
2017-03-04,周六031,德甲,美因茨(-1)VS沃夫斯堡,1:1,1:1
2017-03-04,周六030,德甲,多特蒙德(-1)VS勒沃库森,2:0,6:2
2017-03-04,周六029,德甲,科隆(+1)VS拜仁,0:1,0:3
2017-03-04,周五021,德甲,奥格斯堡(+1)VS莱红牛,1:1,2:2
2017-02-27,周日039,德甲,沙尔克04(-1)VS霍芬海姆,1:0,1:1
2017-02-26,周日031,德甲,因戈施塔(+1)VS门兴,0:0,0:2
2017-02-26,周六061,德甲,柏林赫塔(-1)VS法兰克福,0:0,2:0
2017-02-25,周六023,德甲,达姆施塔(+1)VS奥格斯堡,0:0,1:2
2017-02-25,周六022,德甲,弗赖堡(+1)VS多特蒙德,0:1,0:3
2017-02-25,周六021,德甲,莱红牛(-1)VS科隆,2:0,3:1
2017-02-25,周六020,德甲,拜仁(-2)VS汉堡,3:0,8:0
2017-02-25,周六019,德甲,勒沃库森(-1)VS美因茨,0:2,0:2
2017-02-25,周五026,德甲,沃夫斯堡(-1)VS不来梅,1:2,1:2
2017-02-20,周日031,德甲,科隆(-1)VS沙尔克04,1:1,1:1
2017-02-19,周日021,德甲,门兴(+1)VS莱红牛,0:1,1:2
2017-02-19,周六050,德甲,汉堡(-1)VS弗赖堡,1:1,2:2
2017-02-18,周六016,德甲,霍芬海姆(-1)VS达姆施塔,0:0,2:0
2017-02-18,周六015,德甲,柏林赫塔(+1)VS拜仁,1:0,1:1
2017-02-18,周六014,德甲,美因茨(-1)VS不来梅,0:2,0:2
2017-02-18,周六013,德甲,法兰克福(-1)VS因戈施塔,0:1,0:2
2017-02-18,周六012,德甲,多特蒙德(-1)VS沃夫斯堡,1:0,3:0
2017-02-18,周五022,德甲,奥格斯堡(+1)VS勒沃库森,0:2,1:3
2017-02-13,周日027,德甲,弗赖堡(-1)VS科隆,1:1,2:1
2017-02-12,周日019,德甲,沃夫斯堡(-1)VS霍芬海姆,0:1,2:1
2017-02-12,周六054,德甲,沙尔克04(-1)VS柏林赫塔,1:0,2:0
2017-02-11,周六015,德甲,不来梅(+1)VS门兴,0:1,0:1
2017-02-11,周六014,德甲,达姆施塔(+1)VS多特蒙德,1:1,2:1
2017-02-11,周六013,德甲,莱红牛(-1)VS汉堡,0:2,0:3
2017-02-11,周六012,德甲,因戈施塔(+1)VS拜仁,0:0,0:2
2017-02-11,周六011,德甲,勒沃库森(-1)VS法兰克福,1:0,3:0
2017-02-11,周五021,德甲,美因茨(-1)VS奥格斯堡,1:0,2:0
2017-02-06,周日032,德甲,法兰克福(-1)VS达姆施塔,0:0,2:0
2017-02-05,周日024,德甲,奥格斯堡(-1)VS不来梅,1:1,3:2
2017-02-05,周六055,德甲,多特蒙德(-1)VS莱红牛,1:0,1:0
2017-02-04,周六018,德甲,霍芬海姆(-1)VS美因茨,1:0,4:0
2017-02-04,周六017,德甲,柏林赫塔(-1)VS因戈施塔,1:0,1:0
2017-02-04,周六016,德甲,拜仁(-2)VS沙尔克04,1:1,1:1
2017-02-04,周六015,德甲,门兴(-1)VS弗赖堡,0:0,3:0
2017-02-04,周六014,德甲,科隆(-1)VS沃夫斯堡,0:0,1:0
2017-02-04,周五124,德甲,汉堡(+1)VS勒沃库森,0:0,1:0
2017-01-28,周五022,德甲,沙尔克04(-1)VS法兰克福,0:1,0:1
2017-01-23,周日026,德甲,美因茨(-1)VS科隆,0:0,0:0
2017-01-22,周日018,德甲,勒沃库森(-1)VS柏林赫塔,2:1,3:1
2017-01-22,周六052,德甲,莱红牛(-1)VS法兰克福,2:0,3:0
2017-01-21,周六012,德甲,不来梅(+1)VS多特蒙德,0:1,1:2
2017-01-21,周六011,德甲,沃夫斯堡(-1)VS汉堡,0:0,1:0
2017-01-21,周六010,德甲,达姆施塔(+1)VS门兴,0:0,0:0
2017-01-21,周六009,德甲,沙尔克04(-1)VS因戈施塔,0:0,1:0
2017-01-21,周六008,德甲,奥格斯堡(+1)VS霍芬海姆,0:0,0:2
2017-01-21,周五020,德甲,弗赖堡(+2)VS拜仁,1:1,1:2
2016-12-22,周三008,德甲,霍芬海姆(-1)VS不来梅,1:0,1:1
2016-12-22,周三007,德甲,柏林赫塔(-1)VS达姆施塔,0:0,2:0
2016-12-22,周三006,德甲,因戈施塔(-1)VS弗赖堡,0:2,1:2
2016-12-22,周三005,德甲,拜仁(-1)VS莱红牛,3:0,3:0
2016-12-22,周三004,德甲,科隆(+1)VS勒沃库森,1:1,1:1
2016-12-21,周二005,德甲,汉堡(+1)VS沙尔克04,0:0,2:1
2016-12-21,周二004,德甲,法兰克福(-1)VS美因茨,1:0,3:0
2016-12-21,周二003,德甲,门兴(-1)VS沃夫斯堡,0:1,1:2
2016-12-21,周二002,德甲,多特蒙德(-1)VS奥格斯堡,0:1,1:1
2016-12-19,周日029,德甲,勒沃库森(-1)VS因戈施塔,0:1,1:2
2016-12-18,周日021,德甲,达姆施塔(+2)VS拜仁,0:0,0:1
