date,weekday,league,home_away,half,overtime
2017-04-02,周六068,意甲,萨索洛(+1)VS拉齐奥,1:1,1:2
2017-03-20,周日053,意甲,罗马(-1)VS萨索洛,2:1,3:1
2017-03-20,周日045,意甲,乌迪内斯(-1)VS巴勒莫,1:1,4:1
2017-03-19,周日033,意甲,桑普(+1)VS尤文图斯,0:1,0:1
2017-03-19,周日032,意甲,克罗托内(+1)VS佛罗伦萨,0:0,0:1
2017-03-19,周日031,意甲,卡利亚里(+1)VS拉齐奥,0:0,0:0
2017-03-19,周日030,意甲,博洛尼亚(-1)VS切沃,0:1,4:1
2017-03-19,周日029,意甲,亚特兰大(-1)VS佩斯卡拉,1:0,3:0
2017-03-19,周日017,意甲,恩波利(+1)VS那不勒斯,0:3,2:3
2017-03-19,周六079,意甲,AC米兰(-1)VS热那亚,1:0,1:0
2017-03-19,周六060,意甲,都灵(+1)VS国际米兰,1:1,2:2
2017-03-14,周一018,意甲,拉齐奥(-1)VS都灵,0:0,3:1
2017-03-13,周日054,意甲,巴勒莫(+1)VS罗马,0:1,0:3
2017-03-12,周日036,意甲,佛罗伦萨(-1)VS卡利亚里,0:0,1:0
2017-03-12,周日035,意甲,那不勒斯(-2)VS克罗托内,1:0,3:0
2017-03-12,周日034,意甲,佩斯卡拉(+1)VS乌迪内斯,0:1,1:3
2017-03-12,周日033,意甲,国际米兰(-1)VS亚特兰大,5:1,7:1
2017-03-12,周日032,意甲,切沃(-1)VS恩波利,2:0,4:0
2017-03-12,周日014,意甲,萨索洛(-1)VS博洛尼亚,0:0,0:1
2017-03-12,周六077,意甲,热那亚(+1)VS桑普,0:0,0:1
2017-03-11,周五030,意甲,尤文图斯(-1)VSAC米兰,1:1,2:1
2017-03-06,周日051,意甲,博洛尼亚(+1)VS拉齐奥,0:1,0:2
2017-03-05,周日034,意甲,乌迪内斯(+1)VS尤文图斯,1:0,1:1
2017-03-05,周日033,意甲,都灵(-1)VS巴勒莫,0:1,3:1
2017-03-05,周日032,意甲,克罗托内(+1)VS萨索洛,0:0,0:0
2017-03-05,周日031,意甲,恩波利(-1)VS热那亚,0:0,0:2
2017-03-05,周日030,意甲,卡利亚里(+1)VS国际米兰,1:2,1:5
2017-03-05,周日016,意甲,亚特兰大(-1)VS佛罗伦萨,0:0,0:0
2017-03-05,周六090,意甲,AC米兰(-1)VS切沃,1:1,3:1
2017-03-05,周六067,意甲,桑普(-1)VS佩斯卡拉,1:1,3:1
2017-03-04,周六026,意甲,罗马(-1)VS那不勒斯,0:1,1:2
2017-02-28,周一007,意甲,佛罗伦萨(-1)VS都灵,2:0,2:2
2017-02-27,周日046,意甲,国际米兰(-1)VS罗马,0:1,1:3
2017-02-26,周日029,意甲,萨索洛(+1)VSAC米兰,0:1,0:1
2017-02-26,周日028,意甲,拉齐奥(-1)VS乌迪内斯,0:0,1:0
2017-02-26,周日027,意甲,热那亚(-1)VS博洛尼亚,0:0,1:1
2017-02-26,周日026,意甲,克罗托内(-1)VS卡利亚里,1:1,1:2
2017-02-26,周日025,意甲,切沃(-1)VS佩斯卡拉,1:0,2:0
2017-02-26,周日015,意甲,巴勒莫(+1)VS桑普,1:0,1:1
2017-02-26,周六075,意甲,尤文图斯(-2)VS恩波利,0:0,2:0
2017-02-26,周六057,意甲,那不勒斯(-1)VS亚特兰大,0:1,0:2
2017-02-20,周日038,意甲,AC米兰(-1)VS佛罗伦萨,2:1,2:1
2017-02-20,周日032,意甲,罗马(-1)VS都灵,2:0,4:1
2017-02-19,周日019,意甲,乌迪内斯(-1)VS萨索洛,1:0,1:2
2017-02-19,周日018,意甲,桑普(-1)VS卡利亚里,1:1,1:1
2017-02-19,周日017,意甲,佩斯卡拉(+1)VS热那亚,3:0,5:0
2017-02-19,周日016,意甲,切沃(+1)VS那不勒斯,0:2,1:3
2017-02-19,周日003,意甲,博洛尼亚(+1)VS国际米兰,0:0,0:1
2017-02-19,周六065,意甲,恩波利(+1)VS拉齐奥,0:0,1:2
2017-02-19,周六047,意甲,亚特兰大(-1)VS克罗托内,0:0,1:0
2017-02-18,周五024,意甲,尤文图斯(-2)VS巴勒莫,2:0,4:1
2017-02-14,周一006,意甲,拉齐奥(-1)VSAC米兰,1:0,1:1
2017-02-13,周日035,意甲,卡利亚里(+1)VS尤文图斯,0:1,0:2
2017-02-13,周日028,意甲,桑普(-1)VS博洛尼亚,0:1,3:1
2017-02-12,周日017,意甲,萨索洛(-1)VS切沃,1:1,1:3
2017-02-12,周日016,意甲,巴勒莫(+1)VS亚特兰大,1:2,1:3
2017-02-12,周日015,意甲,国际米兰(-1)VS恩波利,1:0,2:0
2017-02-12,周日014,意甲,都灵(-1)VS佩斯卡拉,3:0,5:3
2017-02-12,周日003,意甲,克罗托内(+1)VS罗马,0:1,0:2
2017-02-12,周六070,意甲,佛罗伦萨(-1)VS乌迪内斯,1:0,3:0
2017-02-11,周五024,意甲,那不勒斯(-2)VS热那亚,0:0,2:0
2017-02-09,周三016,意甲,博洛尼亚(+1)VSAC米兰,0:0,0:1
2017-02-09,周三004,意甲,克罗托内(+2)VS尤文图斯,0:0,0:2
2017-02-08,周二019,意甲,罗马(-1)VS佛罗伦萨,1:0,4:0
2017-02-06,周日041,意甲,尤文图斯(-1)VS国际米兰,1:0,1:0
2017-02-06,周日033,意甲,巴勒莫(-1)VS克罗托内,1:0,1:0
2017-02-05,周日022,意甲,佩斯卡拉(+1)VS拉齐奥,2:2,2:6
2017-02-05,周日021,意甲,热那亚(-1)VS萨索洛,0:1,0:1
2017-02-05,周日020,意甲,恩波利(+1)VS都灵,1:1,1:1
2017-02-05,周日019,意甲,亚特兰大(-1)VS卡利亚里,2:0,2:0
2017-02-05,周日018,意甲,切沃(-1)VS乌迪内斯,0:0,0:0
2017-02-05,周日005,意甲,AC米兰(-1)VS桑普,0:0,0:1
2017-02-05,周六070,意甲,博洛尼亚(+1)VS那不勒斯,1:4,1:7
2017-01-23,周日036,意甲,罗马(-2)VS卡利亚里,0:0,1:0
2017-01-23,周日027,意甲,亚特兰大(-1)VS桑普,0:0,1:0
2017-01-22,周日015,意甲,巴勒莫(+1)VS国际米兰,0:0,0:1
2017-01-22,周日014,意甲,佩斯卡拉(+1)VS萨索洛,0:1,1:3
2017-01-22,周日013,意甲,热那亚(-1)VS克罗托内,1:0,2:2
2017-01-22,周日012,意甲,恩波利(-1)VS乌迪内斯,0:0,1:0
2017-01-22,周日011,意甲,博洛尼亚(+1)VS都灵,1:0,2:0
2017-01-22,周日003,意甲,尤文图斯(-1)VS拉齐奥,2:0,2:0
2017-01-22,周六068,意甲,AC米兰(+1)VS那不勒斯,1:2,1:2
2017-01-22,周六048,意甲,切沃(+1)VS佛罗伦萨,0:1,0:3
2017-01-17,周一004,意甲,都灵(-1)VSAC米兰,2:0,2:2
2017-01-16,周日026,意甲,佛罗伦萨(+1)VS尤文图斯,1:0,2:1
2017-01-15,周日013,意甲,萨索洛(-1)VS巴勒莫,2:1,4:1
2017-01-15,周日012,意甲,乌迪内斯(+1)VS罗马,0:1,0:1
2017-01-15,周日011,意甲,桑普(-1)VS恩波利,0:0,0:0
2017-01-15,周日010,意甲,那不勒斯(-2)VS佩斯卡拉,0:0,3:1
2017-01-15,周日009,意甲,拉齐奥(-1)VS亚特兰大,1:1,2:1
2017-01-15,周日004,意甲,卡利亚里(+1)VS热那亚,2:1,4:1
2017-01-15,周六053,意甲,国际米兰(-1)VS切沃,0:1,3:1
2017-01-15,周六039,意甲,克罗托内(+1)VS博洛尼亚,0:0,0:1
2017-01-09,周日029,意甲,尤文图斯(-2)VS博洛尼亚,2:0,3:0
2017-01-09,周日025,意甲,AC米兰(-1)VS卡利亚里,0:0,1:0
2017-01-08,周日015,意甲,萨索洛(+1)VS都灵,0:0,0:0
2017-01-08,周日014,意甲,拉齐奥(-1)VS克罗托内,0:0,1:0
2017-01-08,周日013,意甲,佩斯卡拉(+1)VS佛罗伦萨,取消,取消
2017-01-08,周日012,意甲,热那亚(+1)VS罗马,0:1,0:1
2017-01-08,周日011,意甲,切沃(+1)VS亚特兰大,0:3,1:4
2017-01-08,周日004,意甲,乌迪内斯(+1)VS国际米兰,1:1,1:2
2017-01-08,周六048,意甲,那不勒斯(-1)VS桑普,0:1,2:1
2017-01-08,周六043,意甲,恩波利(-1)VS巴勒莫,0:0,1:0
2016-12-23,周四012,意甲,佛罗伦萨(+1)VS那不勒斯,0:1,3:3
2016-12-23,周四011,意甲,巴勒莫(-1)VS佩斯卡拉,1:0,1:1
2016-12-23,周四010,意甲,桑普(-1)VS乌迪内斯,0:0,0:0
2016-12-23,周四009,意甲,都灵(-1)VS热那亚,0:0,1:0
2016-12-23,周四008,意甲,卡利亚里(-1)VS萨索洛,1:2,4:3
2016-12-23,周四007,意甲,罗马(-1)VS切沃,1:1,3:1
