season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total
2014,SC Paderborn 07 (18.),,1,5,2,0,5,7,9,2,31
2014,Hamburger SV (16.),,3,3,4,2,5,3,3,2,25
2015,Borussia Dortmund (2.),,6,12,14,0,16,13,16,5,82
2015,Bayern Munich (1.),,8,8,14,0,15,22,12,1,80
2015,Borussia M?nchengladbach (4.),,7,10,10,0,13,9,16,2,67
2015,Bayer 04 Leverkusen (3.),,2,8,11,0,7,18,9,1,56
2015,FC Schalke 04 (5.),,7,6,8,0,10,7,11,2,51
2015,SV Werder Bremen (13.),,4,5,12,1,6,12,8,2,50
2015,VfB Stuttgart (17.),,3,8,9,2,9,6,12,1,50
2015,VfL Wolfsburg (8.),,7,7,6,0,5,7,12,3,47
2015,1.FSV Mainz 05 (6.),,7,11,8,0,6,5,8,1,46
2015,Hertha BSC (7.),,7,6,6,1,7,6,8,1,42
2015,FC Augsburg (12.),,8,4,10,0,9,3,6,2,42
2015,Hamburger SV (10.),,6,5,7,0,6,8,6,2,40
2015,TSG 1899 Hoffenheim (15.),,8,6,7,0,4,6,6,2,39
2015,1. FC K?ln (9.),,2,6,6,0,2,11,10,1,38
2015,SV Darmstadt 98 (14.),,7,9,7,0,7,1,7,0,38
2015,Eintracht Frankfurt (16.),,5,7,4,0,4,7,6,1,34
2015,FC Ingolstadt 04 (11.),,4,5,4,1,4,8,6,1,33
2015,Hannover 96 (18.),,4,5,3,0,10,5,4,0,31
2016,Bayern Munich (1.),,9,19,11,1,12,14,15,8,89
2016,Borussia Dortmund (3.),,16,7,7,0,14,9,15,4,72
2016,RasenBallsport Leipzig (2.),,13,5,9,1,12,10,12,4,66
2016,TSG 1899 Hoffenheim (4.),,8,9,9,1,11,8,15,3,64
2016,SV Werder Bremen (8.),,7,7,11,3,8,9,13,3,61
2016,Bayer 04 Leverkusen (12.),,7,2,10,2,7,10,12,3,53
2016,1. FC K?ln (5.),,5,9,13,0,8,7,8,1,51
2016,Borussia M?nchengladbach (9.),,4,7,8,1,8,5,9,3,45
2016,FC Schalke 04 (10.),,9,6,7,0,9,6,7,1,45
2016,1.FSV Mainz 05 (15.),,8,5,6,2,4,7,7,5,44
2016,Hertha BSC (6.),,6,6,5,0,6,12,6,2,43
2016,SC Freiburg (7.),,4,6,7,0,4,8,12,1,42
2016,Eintracht Frankfurt (11.),,4,2,6,1,7,4,10,2,36
2016,FC Ingolstadt 04 (17.),,5,6,7,0,5,10,2,1,36
2016,FC Augsburg (13.),,3,6,4,0,6,5,10,1,35
2016,VfL Wolfsburg (16.),,4,4,4,2,7,4,9,0,34
2016,Hamburger SV (14.),,4,8,2,0,4,5,6,4,33
2016,SV Darmstadt 98 (18.),,4,4,3,0,4,6,4,3,28
