season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total
2006,SV Werder Bremen (3.),,9,12,12,0,11,10,19,3,76
2006,VfB Stuttgart (1.),,10,12,7,0,12,11,9,0,61
2006,Bayern Munich (4.),,7,10,15,1,9,8,5,0,55
2006,Bayer 04 Leverkusen (5.),,5,8,12,2,12,9,4,2,54
2006,FC Schalke 04 (2.),,13,14,3,0,7,11,4,1,53
2006,Hertha BSC (10.),,5,7,5,0,12,11,9,1,50
2006,VfL Bochum (8.),,8,6,10,2,10,6,7,0,49
2006,Arminia Bielefeld (12.),,4,12,3,0,3,11,14,0,47
2006,Eintracht Frankfurt (14.),,9,3,6,0,10,10,7,1,46
2006,Alemannia Aachen (17.),,5,6,8,0,9,8,9,1,46
2006,1.FC Nuremberg (6.),,8,6,4,0,8,5,8,4,43
2006,Hamburger SV (7.),,5,5,8,0,3,11,10,1,43
2006,Borussia Dortmund (9.),,6,3,5,0,8,3,12,4,41
2006,Hannover 96 (11.),,5,7,8,0,6,9,5,1,41
2006,FC Energie Cottbus (13.),,4,5,3,0,10,8,7,1,38
2006,VfL Wolfsburg (15.),,3,11,4,0,4,6,8,1,37
2006,1.FSV Mainz 05 (16.),,4,7,4,0,6,7,6,0,34
2006,Borussia M?nchengladbach (18.),,0,3,5,0,5,2,7,1,23
2007,SV Werder Bremen (2.),,10,8,12,1,12,14,18,0,75
2007,Bayern Munich (1.),,9,10,11,0,10,15,13,0,68
2007,VfL Wolfsburg (5.),,7,14,5,0,11,11,9,1,58
2007,VfB Stuttgart (6.),,8,10,8,0,10,9,11,1,57
2007,Bayer 04 Leverkusen (7.),,5,5,10,0,14,11,12,0,57
2007,FC Schalke 04 (3.),,7,7,14,1,7,9,9,1,55
2007,Hannover 96 (8.),,6,11,10,0,9,6,11,1,54
2007,Borussia Dortmund (13.),,3,8,9,0,7,10,11,2,50
2007,VfL Bochum (12.),,10,5,12,0,7,8,6,0,48
2007,Hamburger SV (4.),,5,8,7,0,8,9,10,0,47
2007,Eintracht Frankfurt (9.),,6,5,7,0,11,4,9,1,43
2007,Hertha BSC (10.),,3,5,8,0,6,9,7,1,39
2007,Karlsruher SC (11.),,1,4,2,0,9,15,6,1,38
2007,MSV Duisburg (18.),,7,6,3,0,8,7,5,0,36
2007,FC Energie Cottbus (14.),,5,4,5,0,7,7,5,2,35
2007,Arminia Bielefeld (15.),,3,1,5,0,8,5,10,3,35
2007,1.FC Nuremberg (16.),,5,6,6,0,9,2,7,0,35
2007,FC Hansa Rostock (17.),,1,7,4,0,7,5,6,0,30
2008,VfL Wolfsburg (1.),,10,11,13,0,12,15,19,0,80
2008,Bayern Munich (2.),,5,11,12,0,15,15,12,1,71
2008,SV Werder Bremen (10.),,4,8,11,1,13,12,14,1,64
2008,VfB Stuttgart (3.),,8,11,5,1,9,13,14,2,63
2008,TSG 1899 Hoffenheim (7.),,8,12,8,0,8,17,10,0,63
2008,Borussia Dortmund (6.),,7,9,8,0,8,16,11,1,60
2008,Bayer 04 Leverkusen (9.),,10,12,8,0,5,11,12,1,59
2008,Hamburger SV (5.),,9,7,10,0,10,9,3,1,49
2008,Hannover 96 (11.),,7,8,11,1,6,8,8,0,49
2008,Hertha BSC (4.),,3,5,12,0,9,7,11,1,48
2008,FC Schalke 04 (8.),,6,12,9,0,4,3,11,2,47
2008,Eintracht Frankfurt (13.),,3,4,6,0,7,9,9,1,39
2008,VfL Bochum (14.),,3,10,5,0,9,6,6,0,39
2008,Borussia M?nchengladbach (15.),,5,5,6,0,6,6,10,1,39
2008,1. FC K?ln (12.),,5,3,8,0,5,6,7,1,35
2008,FC Energie Cottbus (16.),,6,3,5,0,5,6,4,1,30
2008,Karlsruher SC (17.),,2,4,6,0,7,6,4,1,30
2008,Arminia Bielefeld (18.),,3,4,6,0,5,5,6,0,29
2009,Bayern Munich (1.),,3,16,12,0,14,12,14,1,72
2009,SV Werder Bremen (3.),,6,7,14,0,11,16,10,7,71
2009,Bayer 04 Leverkusen (4.),,8,9,14,0,12,12,10,0,65
2009,VfL Wolfsburg (8.),,2,7,9,0,13,14,16,3,64
2009,Hamburger SV (7.),,14,8,9,0,6,9,8,2,56
2009,Borussia Dortmund (5.),,11,9,6,1,12,6,7,2,54
2009,FC Schalke 04 (2.),,7,4,7,2,12,7,11,3,53
2009,VfB Stuttgart (6.),,5,6,10,0,8,11,11,0,51
2009,Eintracht Frankfurt (10.),,5,8,6,1,4,13,8,2,47
2009,TSG 1899 Hoffenheim (11.),,7,4,11,0,4,5,11,2,44
2009,Borussia M?nchengladbach (12.),,6,10,7,0,9,5,4,2,43
2009,Hannover 96 (15.),,6,8,6,1,7,6,7,2,43
2009,1.FSV Mainz 05 (9.),,5,4,8,1,6,4,8,0,36
2009,SC Freiburg (14.),,5,4,6,0,6,8,3,3,35
2009,Hertha BSC (18.),,5,5,5,1,6,4,6,2,34
2009,1. FC K?ln (13.),,5,3,5,0,4,4,12,0,33
2009,VfL Bochum (17.),,6,4,3,0,8,4,7,1,33
2009,1.FC Nuremberg (16.),,3,5,4,0,7,7,4,2,32
2010,Bayern Munich (3.),,14,6,13,1,11,13,20,3,81
2010,Borussia Dortmund (1.),,6,8,10,1,14,13,11,4,67
2010,Bayer 04 Leverkusen (2.),,5,14,9,2,4,16,13,1,64
2010,VfB Stuttgart (12.),,7,8,5,1,12,15,11,1,60
2010,1.FSV Mainz 05 (5.),,3,7,6,0,10,9,16,1,52
2010,TSG 1899 Hoffenheim (11.),,6,4,14,1,7,7,9,2,50
2010,Hannover 96 (4.),,6,8,7,2,11,6,7,2,49
2010,1.FC Kaiserslautern (7.),,9,6,7,0,7,7,11,1,48
2010,Borussia M?nchengladbach (16.),,6,6,10,0,7,11,6,2,48
2010,1.FC Nuremberg (6.),,8,6,5,1,7,8,10,2,47
2010,1. FC K?ln (10.),,4,9,5,0,10,7,9,3,47
2010,SV Werder Bremen (13.),,7,4,9,0,9,8,4,6,47
2010,Hamburger SV (8.),,4,4,9,0,11,8,10,0,46
2010,VfL Wolfsburg (15.),,6,9,5,1,5,7,9,1,43
2010,SC Freiburg (9.),,4,8,6,0,6,10,6,1,41
2010,FC Schalke 04 (14.),,4,5,2,2,8,6,11,0,38
2010,FC St. Pauli (18.),,3,5,5,1,7,5,8,1,35
2010,Eintracht Frankfurt (17.),,0,6,8,0,5,5,7,0,31
2011,Borussia Dortmund (1.),,5,18,12,1,14,12,17,1,80
2011,Bayern Munich (2.),,14,12,9,0,16,12,11,3,77
2011,FC Schalke 04 (3.),,9,9,9,0,10,21,16,0,74
2011,VfB Stuttgart (6.),,5,9,10,1,9,10,18,1,63
2011,Bayer 04 Leverkusen (5.),,10,7,3,0,8,11,12,1,52
2011,Borussia M?nchengladbach (4.),,8,6,10,0,9,11,5,0,49
2011,SV Werder Bremen (9.),,1,10,6,2,12,6,10,2,49
2011,VfL Wolfsburg (8.),,6,7,8,0,6,10,9,1,47
2011,1.FSV Mainz 05 (13.),,12,8,7,0,8,9,3,0,47
2011,SC Freiburg (12.),,7,5,7,0,8,7,7,4,45
2011,Hannover 96 (7.),,3,10,8,0,6,7,7,0,41
2011,TSG 1899 Hoffenheim (11.),,5,11,5,1,5,6,8,0,41
2011,1. FC K?ln (17.),,5,7,7,0,6,7,6,1,39
2011,1.FC Nuremberg (10.),,7,4,8,1,2,9,7,0,38
2011,Hertha BSC (16.),,6,6,4,1,5,4,10,2,38
2011,FC Augsburg (14.),,7,3,4,0,8,7,4,3,36
2011,Hamburger SV (15.),,3,6,4,1,7,10,4,0,35
2011,1.FC Kaiserslautern (18.),,3,6,3,0,4,6,2,0,24
2012,Bayern Munich (1.),,8,16,19,0,24,13,16,2,98
2012,Borussia Dortmund (2.),,18,14,12,1,10,11,14,1,81
2012,Bayer 04 Leverkusen (3.),,8,8,15,0,11,13,9,1,65
2012,Hannover 96 (9.),,7,7,12,0,9,15,7,3,60
2012,FC Schalke 04 (4.),,6,6,7,0,12,10,16,1,58
2012,SV Werder Bremen (14.),,3,9,8,0,10,9,10,1,50
2012,Eintracht Frankfurt (6.),,7,7,7,0,11,9,8,0,49
2012,VfL Wolfsburg (11.),,9,11,5,0,7,10,4,1,47
2012,SC Freiburg (5.),,4,8,6,0,5,11,8,3,45
2012,Borussia M?nchengladbach (8.),,9,5,7,0,9,7,6,2,45
2012,Hamburger SV (7.),,5,12,4,0,7,9,4,1,42
2012,1.FSV Mainz 05 (13.),,7,8,5,0,7,7,6,2,42
2012,TSG 1899 Hoffenheim (16.),,8,4,4,0,6,7,8,5,42
2012,1.FC Nuremberg (10.),,2,5,5,0,7,10,8,2,39
2012,Fortuna D¨¹sseldorf (17.),,5,4,9,1,5,5,9,1,39
2012,VfB Stuttgart (12.),,7,6,8,0,7,7,2,0,37
2012,FC Augsburg (15.),,5,4,9,0,4,5,6,0,33
2012,SpVgg Greuther F¨¹rth (18.),,6,2,3,0,4,6,3,2,26
2013,Bayern Munich (1.),,10,15,14,0,14,20,17,4,94
2013,Borussia Dortmund (2.),,7,12,11,2,15,16,15,2,80
2013,TSG 1899 Hoffenheim (9.),,14,10,11,0,14,11,11,1,72
2013,FC Schalke 04 (3.),,8,11,10,1,8,11,8,6,63
2013,VfL Wolfsburg (5.),,11,4,12,1,9,12,11,3,63
2013,Bayer 04 Leverkusen (4.),,5,15,12,1,10,7,8,2,60
2013,Borussia M?nchengladbach (6.),,5,10,11,1,7,14,11,0,59
2013,1.FSV Mainz 05 (7.),,8,6,6,0,5,14,9,4,52
2013,Hamburger SV (16.),,4,10,5,1,11,8,10,2,51
2013,VfB Stuttgart (15.),,12,8,7,0,9,6,7,0,49
2013,FC Augsburg (8.),,7,9,10,0,8,4,7,2,47
2013,Hannover 96 (10.),,5,10,7,1,8,3,9,3,46
2013,SC Freiburg (14.),,4,5,3,0,12,9,9,1,43
2013,SV Werder Bremen (12.),,5,7,8,1,3,5,9,4,42
2013,Hertha BSC (11.),,5,8,6,0,7,7,7,0,40
2013,Eintracht Frankfurt (13.),,7,3,9,0,9,6,5,1,40
2013,1.FC Nuremberg (17.),,4,6,7,0,8,7,2,3,37
2013,Eintracht Braunschweig (18.),,1,6,1,1,8,2,9,1,29
2014,Bayern Munich (1.),,9,14,12,0,11,15,17,2,80
2014,VfL Wolfsburg (2.),,17,12,4,2,10,11,15,1,72
2014,Bayer 04 Leverkusen (4.),,7,5,10,1,13,14,9,3,62
2014,Eintracht Frankfurt (9.),,6,7,9,2,14,6,10,2,56
2014,Borussia M?nchengladbach (3.),,10,7,9,0,8,5,12,2,53
2014,SV Werder Bremen (10.),,5,9,10,0,13,4,8,1,50
2014,TSG 1899 Hoffenheim (8.),,6,9,12,0,4,7,9,2,49
2014,Borussia Dortmund (7.),,8,6,7,1,9,5,11,0,47
2014,1.FSV Mainz 05 (11.),,4,5,12,0,5,5,11,3,45
2014,FC Augsburg (5.),,5,5,3,1,8,10,7,4,43
2014,FC Schalke 04 (6.),,8,6,6,0,8,6,8,0,42
2014,VfB Stuttgart (14.),,2,5,9,0,7,10,7,2,42
2014,Hannover 96 (13.),,5,7,3,1,6,10,7,1,40
2014,Hertha BSC (15.),,1,7,9,0,3,5,9,2,36
2014,SC Freiburg (17.),,2,6,7,0,4,6,8,3,36
2014,1. FC K?ln (12.),,7,4,4,1,4,6,8,0,34
