date,weekday,league,home_away,half,overtime
2012-10-27,周六024,英超,雷丁VS富勒姆,1:0,3:3
2012-10-27,周六023,英超,阿森纳(-1)VS女王巡游,0:0,1:0
2012-10-27,周六015,英超,维拉VS诺维奇,1:0,1:1
2012-10-21,周日036,英超,女王巡游VS埃弗顿,1:1,1:1
2012-10-21,周日022,英超,桑德兰VS纽卡斯尔,0:1,1:1
2012-10-21,周六061,英超,诺维奇VS阿森纳,1:0,1:0
2012-10-20,周六029,英超,西汉姆联VS南安普敦,0:0,4:1
2012-10-20,周六028,英超,西布罗姆VS曼城,0:0,1:2
2012-10-20,周六027,英超,斯旺西VS维冈,0:0,2:1
2012-10-20,周六026,英超,曼联(-1)VS斯托克城,2:1,4:2
2012-10-20,周六025,英超,利物浦(-1)VS雷丁,1:0,1:0
2012-10-20,周六024,英超,富勒姆VS维拉,0:0,1:0
2012-10-20,周六015,英超,热刺VS切尔西,0:1,2:4
2012-10-07,周日037,英超,纽卡斯尔VS曼联,0:2,0:3
2012-10-07,周日034,英超,热刺VS维拉,0:0,2:0
2012-10-07,周日033,英超,利物浦VS斯托克城,0:0,0:0
2012-10-07,周日021,英超,南安普敦VS富勒姆,1:0,2:2
2012-10-07,周六060,英超,西汉姆联VS阿森纳,1:1,1:3
2012-10-06,周六026,英超,维冈VS埃弗顿,2:1,2:2
2012-10-06,周六025,英超,西布罗姆VS女王巡游,2:1,3:2
2012-10-06,周六024,英超,斯旺西VS雷丁,0:2,2:2
2012-10-06,周六023,英超,切尔西(-1)VS诺维奇,3:1,4:1
2012-10-06,周六015,英超,曼城(-1)VS桑德兰,1:0,3:0
2012-10-02,周一010,英超,女王巡游VS西汉姆联,0:2,1:2
2012-09-30,周日035,英超,维拉VS西布罗姆,0:0,1:1
2012-09-30,周六059,英超,曼联VS热刺,0:2,2:3
2012-09-29,周六026,英超,桑德兰VS维冈,0:0,1:0
2012-09-29,周六025,英超,斯托克城VS斯旺西,2:0,2:0
2012-09-29,周六024,英超,雷丁VS纽卡斯尔,0:0,2:2
2012-09-29,周六023,英超,诺维奇VS利物浦,0:2,2:5
2012-09-29,周六022,英超,富勒姆VS曼城,1:1,1:2
2012-09-29,周六021,英超,埃弗顿VS南安普敦,3:1,3:1
2012-09-29,周六013,英超,阿森纳VS切尔西,1:1,1:2
2012-09-23,周日037,英超,热刺VS女王巡游,0:1,2:1
2012-09-23,周日036,英超,曼城VS阿森纳,1:0,1:1
2012-09-23,周日032,英超,纽卡斯尔VS诺维奇,1:0,1:0
2012-09-23,周日020,英超,利物浦VS曼联,0:0,1:2
2012-09-22,周六024,英超,维冈VS富勒姆,0:1,1:2
2012-09-22,周六023,英超,西汉姆联VS桑德兰,0:1,1:1
2012-09-22,周六022,英超,西布罗姆VS雷丁,0:0,1:0
2012-09-22,周六021,英超,南安普敦VS维拉,0:1,4:1
2012-09-22,周六020,英超,切尔西VS斯托克城,0:0,1:0
2012-09-22,周六013,英超,斯旺西VS埃弗顿,0:2,0:3
2012-09-18,周一021,英超,埃弗顿VS纽卡斯尔,1:0,2:2
2012-09-16,周日023,英超,雷丁VS热刺,0:1,1:3
2012-09-16,周六056,英超,桑德兰VS利物浦,1:0,1:1
2012-09-15,周六025,英超,斯托克城VS曼城,1:1,1:1
2012-09-15,周六024,英超,女王巡游VS切尔西,0:0,0:0
2012-09-15,周六023,英超,曼联(-1)VS维冈,0:0,4:0
2012-09-15,周六022,英超,富勒姆VS西布罗姆,2:0,3:0
2012-09-15,周六021,英超,维拉VS斯旺西,1:0,2:0
2012-09-15,周六020,英超,阿森纳(-1)VS南安普敦,4:1,6:1
2012-09-15,周六013,英超,诺维奇VS西汉姆联,0:0,0:0
2012-09-02,周日031,英超,南安普敦VS曼联,1:1,2:3
2012-09-02,周日030,英超,纽卡斯尔VS维拉,0:1,1:1
2012-09-02,周日018,英超,利物浦VS阿森纳,0:1,0:2
2012-09-02,周六054,英超,曼城(-1)VS女王巡游,1:0,3:1
2012-09-01,周六022,英超,维冈VS斯托克城,1:1,2:2
2012-09-01,周六021,英超,西布罗姆VS埃弗顿,0:0,2:0
2012-09-01,周六020,英超,热刺VS诺维奇,0:0,1:1
2012-09-01,周六019,英超,斯旺西VS桑德兰,1:2,2:2
2012-09-01,周六012,英超,西汉姆联VS富勒姆,3:0,3:0
2012-08-26,周日024,英超,利物浦VS曼城,1:0,2:2
2012-08-26,周日016,英超,斯托克城VS阿森纳,0:0,0:0
2012-08-26,周六056,英超,切尔西VS纽卡斯尔,2:0,2:0
2012-08-25,周六026,英超,热刺VS西布罗姆,0:0,1:1
2012-08-25,周六025,英超,桑德兰VS雷丁,取消,取消
2012-08-25,周六024,英超,南安普敦VS维冈,0:0,0:2
2012-08-25,周六023,英超,诺维奇VS女王巡游,1:1,1:1
2012-08-25,周六022,英超,曼联(-1)VS富勒姆,3:1,3:2
2012-08-25,周六021,英超,维拉VS埃弗顿,0:3,1:3
2012-08-25,周六012,英超,斯旺西VS西汉姆联,2:0,3:0
2012-08-23,周三019,英超,切尔西(-1)VS雷丁,1:2,4:2
2012-08-21,周一008,英超,埃弗顿VS曼联,0:0,1:0
2012-08-19,周日024,英超,曼城(-1)VS南安普敦,1:0,3:2
2012-08-19,周日014,英超,维冈VS切尔西,0:2,0:2
2012-08-19,周六051,英超,纽卡斯尔VS热刺,0:0,2:1
2012-08-18,周六021,英超,西汉姆联VS维拉,1:0,1:0
2012-08-18,周六020,英超,西布罗姆VS利物浦,1:0,3:0
2012-08-18,周六019,英超,雷丁VS斯托克城,0:1,1:1
2012-08-18,周六018,英超,女王巡游VS斯旺西,0:1,0:5
2012-08-18,周六017,英超,富勒姆VS诺维奇,2:0,5:0
2012-08-18,周六016,英超,阿森纳VS桑德兰,0:0,0:0
2012-05-13,周日032,英超,维冈VS狼队,2:1,3:2
2012-05-13,周日031,英超,西布罗姆VS阿森纳,2:2,2:3
2012-05-13,周日030,英超,热刺VS富勒姆,1:0,2:0
2012-05-13,周日029,英超,斯旺西VS利物浦,0:0,1:0
2012-05-13,周日028,英超,桑德兰VS曼联,0:1,0:1
2012-05-13,周日027,英超,斯托克城VS博尔顿,1:2,2:2
2012-05-13,周日026,英超,诺维奇VS维拉,2:0,2:0
2012-05-13,周日025,英超,曼城VS女王巡游,1:0,3:2
2012-05-13,周日024,英超,埃弗顿VS纽卡斯尔,2:0,3:1
2012-05-13,周日023,英超,切尔西VS布莱克本,2:0,2:1
2012-05-09,周二002,英超,利物浦VS切尔西,3:0,4:1
2012-05-08,周一014,英超,布莱克本VS维冈,0:0,0:1
2012-05-06,周日054,英超,曼联VS斯旺西,2:0,2:0
2012-05-06,周日046,英超,狼队VS埃弗顿,0:0,0:0
2012-05-06,周日045,英超,女王巡游VS斯托克城,0:0,1:0
2012-05-06,周日044,英超,富勒姆VS桑德兰,2:1,2:1
2012-05-06,周日043,英超,博尔顿VS西布罗姆,1:0,2:2
2012-05-06,周日042,英超,维拉VS热刺,1:0,1:1
2012-05-06,周日032,英超,纽卡斯尔VS曼城,0:0,0:2
2012-05-05,周六001,英超,阿森纳VS诺维奇,1:2,3:3
2012-05-03,周三047,英超,博尔顿VS热刺,0:1,1:4
2012-05-03,周三035,英超,切尔西VS纽卡斯尔,0:1,0:2
2012-05-02,周二025,英超,斯托克城VS埃弗顿,0:1,1:1
2012-05-02,周二024,英超,利物浦VS富勒姆,0:1,0:1
2012-05-01,周一013,英超,曼城VS曼联,1:0,1:0
2012-04-29,周日027,英超,热刺VS布莱克本,1:0,2:0
2012-04-29,周日014,英超,切尔西VS女王巡游,4:0,6:1
2012-04-29,周六066,英超,诺维奇VS利物浦,0:2,0:3
2012-04-28,周六038,英超,维冈VS纽卡斯尔,4:0,4:0
2012-04-28,周六037,英超,西布罗姆VS维拉,0:0,0:0
2012-04-28,周六036,英超,斯旺西VS狼队,4:2,4:4
2012-04-28,周六035,英超,桑德兰VS博尔顿,1:1,2:2
2012-04-28,周六034,英超,斯托克城VS阿森纳,1:1,1:1
2012-04-28,周六033,英超,埃弗顿VS富勒姆,3:0,4:0
2012-04-25,周二004,英超,维拉VS博尔顿,0:0,1:2
2012-04-22,周日035,英超,狼队VS曼城,0:1,0:2
2012-04-22,周日034,英超,利物浦VS西布罗姆,0:0,0:1
2012-04-22,周日018,英超,曼联VS埃弗顿,1:1,4:4
2012-04-22,周六057,英超,女王巡游VS热刺,1:0,1:0
2012-04-21,周六025,英超,纽卡斯尔VS斯托克城,2:0,3:0
2012-04-21,周六024,英超,富勒姆VS维冈,0:0,2:1
2012-04-21,周六023,英超,博尔顿VS斯旺西,1:1,1:1
2012-04-21,周六022,英超,布莱克本VS诺维奇,1:0,2:0
2012-04-21,周六021,英超,维拉VS桑德兰,0:0,0:0
2012-04-21,周六014,英超,阿森纳VS切尔西,0:0,0:0
2012-04-17,周一010,英超,阿森纳VS维冈,1:2,1:2
2012-04-15,周日033,英超,曼联VS维拉,2:0,4:0
2012-04-14,周六023,英超,西布罗姆VS女王巡游,1:0,1:0
2012-04-14,周六022,英超,斯旺西VS布莱克本,2:0,3:0
2012-04-14,周六021,英超,桑德兰VS狼队,0:0,0:0
2012-04-14,周六015,英超,诺维奇VS曼城,0:2,1:6
2012-04-12,周三033,英超,女王巡游VS斯旺西,1:0,3:0
2012-04-12,周三023,英超,狼队VS阿森纳,0:2,0:3
2012-04-12,周三022,英超,维冈VS曼联,0:0,1:0
2012-04-12,周三021,英超,曼城VS西布罗姆,1:0,4:0
2012-04-11,周二019,英超,布莱克本VS利物浦,1:2,2:3
2012-04-10,周一045,英超,富勒姆VS切尔西,0:1,1:1
2012-04-10,周一041,英超,维拉VS斯托克城,1:0,1:1
2012-04-09,周一013,英超,热刺VS诺维奇,1:1,1:2
2012-04-09,周一012,英超,纽卡斯尔VS博尔顿,0:0,2:0
2012-04-09,周一011,英超,埃弗顿VS桑德兰,0:0,4:0
2012-04-08,周日023,英超,阿森纳VS曼城,0:0,1:0
2012-04-08,周日019,英超,曼联VS女王巡游,1:0,2:0
2012-04-08,周六061,英超,斯托克城VS狼队,1:1,2:1
2012-04-07,周六036,英超,西布罗姆VS布莱克本,1:0,3:0
2012-04-07,周六035,英超,诺维奇VS埃弗顿,1:1,2:2
2012-04-07,周六034,英超,利物浦VS维拉,0:1,1:1
2012-04-07,周六033,英超,切尔西VS维冈,0:0,2:1
2012-04-07,周六032,英超,博尔顿VS富勒姆,0:2,0:3
2012-04-07,周六015,英超,桑德兰VS热刺,0:0,0:0
2012-04-06,周五011,英超,斯旺西VS纽卡斯尔,0:1,0:2
2012-04-03,周一008,英超,布莱克本VS曼联,0:0,0:2
2012-04-01,周日035,英超,热刺VS斯旺西,1:0,3:1
2012-04-01,周日021,英超,纽卡斯尔VS利物浦,1:0,2:0
2012-03-31,周六027,英超,狼队VS博尔顿,0:0,2:3
2012-03-31,周六026,英超,维冈VS斯托克城,0:0,2:0
2012-03-31,周六025,英超,女王巡游VS阿森纳,1:1,2:1
2012-03-31,周六024,英超,曼城VS桑德兰,1:2,3:3
2012-03-31,周六023,英超,富勒姆VS诺维奇,2:0,2:1
2012-03-31,周六022,英超,埃弗顿VS西布罗姆,1:0,2:0
2012-03-31,周六021,英超,维拉VS切尔西,0:1,2:4
2012-03-27,周一006,英超,曼联VS富勒姆,1:0,1:0
2012-03-25,周日038,英超,西布罗姆VS纽卡斯尔,0:3,1:3
2012-03-25,周六056,英超,斯托克城VS曼城,0:0,1:1
2012-03-24,周六024,英超,斯旺西VS埃弗顿,0:0,0:2
2012-03-24,周六023,英超,桑德兰VS女王巡游,1:0,3:1
2012-03-24,周六022,英超,诺维奇VS狼队,2:1,2:1
2012-03-24,周六021,英超,利物浦VS维冈,0:1,1:2
2012-03-24,周六020,英超,博尔顿VS布莱克本,2:0,2:1
2012-03-24,周六019,英超,阿森纳VS维拉,2:0,3:0
2012-03-24,周六012,英超,切尔西VS热刺,0:0,0:0
2012-03-22,周三026,英超,女王巡游VS利物浦,0:0,3:2
2012-03-22,周三025,英超,埃弗顿VS阿森纳,0:1,0:1
2012-03-22,周三018,英超,曼城VS切尔西,0:0,2:1
2012-03-22,周三017,英超,热刺VS斯托克城,0:0,1:1
2012-03-21,周二051,英超,布莱克本VS桑德兰,0:0,2:0
2012-03-19,周日024,英超,纽卡斯尔VS诺维奇,1:0,1:0
2012-03-18,周日009,英超,狼队VS曼联,0:3,0:5
2012-03-17,周六034,英超,维冈VS西布罗姆,0:0,1:1
2012-03-17,周六033,英超,富勒姆VS斯旺西,0:1,0:3
2012-03-14,周二015,英超,利物浦VS埃弗顿,1:0,3:0
2012-03-13,周一004,英超,阿森纳VS纽卡斯尔,1:1,2:1
2012-03-12,周日037,英超,诺维奇VS维冈,1:0,1:1
2012-03-11,周日027,英超,斯旺西VS曼城,0:0,1:0
2012-03-11,周日026,英超,曼联VS西布罗姆,1:0,2:0
2012-03-11,周六051,英超,埃弗顿VS热刺,1:0,1:0
2012-03-10,周六024,英超,狼队VS布莱克本,0:1,0:2
2012-03-10,周六023,英超,桑德兰VS利物浦,0:0,1:0
2012-03-10,周六022,英超,切尔西VS斯托克城,0:0,1:0
2012-03-10,周六021,英超,维拉VS富勒姆,0:0,1:0
2012-03-10,周六015,英超,博尔顿VS女王巡游,1:0,2:1
2012-03-05,周日039,英超,热刺VS曼联,0:1,1:3
2012-03-04,周日030,英超,富勒姆VS狼队,2:0,5:0
2012-03-04,周日016,英超,纽卡斯尔VS桑德兰,0:1,1:1
2012-03-03,周六019,英超,维冈VS斯旺西,0:1,0:2
2012-03-03,周六018,英超,西布罗姆VS切尔西,0:0,1:0
2012-03-03,周六017,英超,斯托克城VS诺维奇,0:0,1:0
2012-03-03,周六016,英超,女王巡游VS埃弗顿,1:1,1:1
2012-03-03,周六015,英超,曼城(-1)VS博尔顿,1:0,2:0
2012-03-03,周六014,英超,布莱克本VS维拉,0:1,1:1
2012-03-03,周六007,英超,利物浦VS阿森纳,1:1,1:2
2012-02-26,周日019,英超,斯托克城VS斯旺西,2:0,2:0
2012-02-26,周日010,英超,阿森纳VS热刺,2:2,5:2
2012-02-26,周日009,英超,诺维奇VS曼联,0:1,1:2
2012-02-26,周六046,英超,曼城(-1)VS布莱克本,1:0,3:0
2012-02-25,周六018,英超,维冈VS维拉,0:0,0:0
2012-02-25,周六017,英超,西布罗姆VS桑德兰,2:0,4:0
2012-02-25,周六016,英超,女王巡游VS富勒姆,0:1,0:1
2012-02-25,周六015,英超,纽卡斯尔VS狼队,2:0,2:2
2012-02-25,周六014,英超,切尔西VS博尔顿,0:0,3:0
2012-02-13,周日022,英超,维拉VS曼城,0:0,0:1
2012-02-12,周日009,英超,狼队VS西布罗姆,1:1,1:5
2012-02-12,周六063,英超,热刺VS纽卡斯尔,4:0,5:0
2012-02-11,周六031,英超,斯旺西VS诺维奇,1:0,2:3
2012-02-11,周六030,英超,桑德兰VS阿森纳,0:0,1:2
2012-02-11,周六029,英超,富勒姆VS斯托克城,2:0,2:1
2012-02-11,周六028,英超,埃弗顿VS切尔西,1:0,2:0
2012-02-11,周六027,英超,博尔顿VS维冈,0:1,1:2
2012-02-11,周六026,英超,布莱克本VS女王巡游,3:0,3:2
2012-02-11,周六006,英超,曼联VS利物浦,0:0,2:1
2012-02-07,周一005,英超,利物浦VS热刺,0:0,0:0
2012-02-06,周日026,英超,切尔西VS曼联,1:0,3:3
2012-02-05,周日011,英超,纽卡斯尔VS维拉,1:1,2:1
2012-02-05,周六057,英超,曼城(-1)VS富勒姆,2:0,3:0
2012-02-04,周六025,英超,维冈VS埃弗顿,0:0,1:1
2012-02-04,周六024,英超,西布罗姆VS斯旺西,0:0,1:2
2012-02-04,周六023,英超,斯托克城VS桑德兰,0:0,0:1
2012-02-04,周六022,英超,女王巡游VS狼队,1:0,1:2
2012-02-04,周六021,英超,诺维奇VS博尔顿,0:0,2:0
2012-02-04,周六007,英超,阿森纳(-1)VS布莱克本,3:1,7:1
2012-02-02,周三019,英超,富勒姆VS西布罗姆,0:0,1:1
2012-02-02,周三018,英超,布莱克本VS纽卡斯尔,0:1,0:2
2012-02-02,周三017,英超,桑德兰VS诺维奇,2:0,3:0
2012-02-02,周三016,英超,博尔顿VS阿森纳,0:0,0:0
2012-02-02,周三006,英超,维拉VS女王巡游,1:2,2:2
2012-02-01,周二020,英超,埃弗顿VS曼城,0:0,1:0
2012-02-01,周二019,英超,曼联(-1)VS斯托克城,1:0,2:0
2012-02-01,周二005,英超,狼队VS利物浦,0:0,0:3
2012-02-01,周二004,英超,热刺(-1)VS维冈,2:0,3:1
2012-02-01,周二003,英超,斯旺西VS切尔西,1:0,1:1
2012-01-23,周日023,英超,阿森纳VS曼联,0:1,1:2
2012-01-22,周日006,英超,曼城VS热刺,0:0,3:2
2012-01-22,周六050,英超,博尔顿VS利物浦,2:1,3:1
2012-01-21,周六016,英超,狼队VS维拉,2:1,2:3
2012-01-21,周六015,英超,桑德兰VS斯旺西,1:0,2:0
2012-01-21,周六014,英超,斯托克城VS西布罗姆,0:1,1:2
2012-01-21,周六013,英超,女王巡游VS维冈,2:0,3:1
2012-01-21,周六012,英超,富勒姆VS纽卡斯尔,0:1,5:2
2012-01-21,周六011,英超,埃弗顿VS布莱克本,1:0,1:1
2012-01-21,周六004,英超,诺维奇VS切尔西,0:0,0:0
2012-01-17,周一004,英超,维冈VS曼城,0:1,0:1
2012-01-16,周日014,英超,斯旺西VS阿森纳,1:1,3:2
2012-01-15,周日005,英超,纽卡斯尔VS女王巡游,1:0,1:0
2012-01-14,周六018,英超,西布罗姆VS诺维奇,0:1,1:2
2012-01-14,周六017,英超,热刺(-1)VS狼队,0:1,1:1
2012-01-14,周六016,英超,曼联(-2)VS博尔顿,1:0,3:0
2012-01-14,周六015,英超,利物浦VS斯托克城,0:0,0:0
