season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total,team2
2012,Granada CF (15.),,4,9,5,0,4,6,8,1,37,Granada CF
2012,Celta de Vigo (17.),,4,7,7,0,6,3,9,1,37,Celta de
2012,Real Zaragoza (20.),,8,8,6,0,4,3,8,0,37,Real Zaragoza
2012,CA Osasuna (16.),,5,5,1,0,6,7,9,0,33,CA Osasuna
2013,Real Madrid (3.),,13,15,12,1,16,19,24,4,104,Real Madrid
2013,FC Barcelona (2.),,14,14,21,0,10,23,16,2,100,FC Barcelona
2013,Atl¨¦tico Madrid (1.),,7,11,13,1,13,20,10,2,77,Atl¨¦tico Madrid
2013,Sevilla FC (5.),,8,11,11,0,12,12,13,2,69,Sevilla FC
2013,Athletic Bilbao (4.),,10,8,7,0,9,17,14,1,66,Athletic Bilbao
2013,Real Sociedad (7.),,10,5,9,0,13,13,10,2,62,Real Sociedad
2013,Villarreal CF (6.),,6,10,8,1,11,11,12,1,60,Villarreal CF
2013,Valencia CF (8.),,4,4,17,2,5,12,5,2,51,Valencia CF
2013,Celta de Vigo (9.),,3,10,9,0,10,8,9,0,49,Celta de
2013,Rayo Vallecano (12.),,2,6,6,1,12,9,8,2,46,Rayo Vallecano
2013,UD Almer¨ªa (17.),,4,7,7,1,5,10,9,1,44,UD Almer¨ªa
2013,RCD Espanyol Barcelona (13.),,5,6,6,0,7,6,11,0,41,RCD Espanyol
2013,M¨¢laga CF (11.),,6,3,7,0,5,10,5,3,39,M¨¢laga CF
2013,Real Valladolid CF (19.),,7,3,5,0,8,5,9,1,38,Real Valladolid
2013,Real Betis Balompi¨¦ (20.),,4,6,5,0,3,7,10,1,36,Real Betis
2013,Levante UD (10.),,4,7,4,0,6,7,6,1,35,Levante UD
2013,Getafe CF (14.),,6,8,6,0,5,3,4,3,35,Getafe CF
2013,Granada CF (15.),,1,4,9,0,5,5,6,2,32,Granada CF
2013,CA Osasuna (18.),,8,8,6,0,5,0,4,1,32,CA Osasuna
2013,Elche CF (16.),,3,4,5,0,3,5,6,4,30,Elche CF
2014,Real Madrid (2.),,11,17,27,0,16,18,26,3,118,Real Madrid
2014,FC Barcelona (1.),,10,11,17,2,22,23,20,5,110,FC Barcelona
2014,Sevilla FC (5.),,7,7,17,1,9,15,13,2,71,Sevilla FC
2014,Valencia CF (4.),,10,12,12,0,7,18,9,2,70,Valencia CF
2014,Atl¨¦tico Madrid (3.),,13,13,13,0,10,7,11,0,67,Atl¨¦tico Madrid
2014,Villarreal CF (6.),,2,7,8,1,6,11,12,1,48,Villarreal CF
2014,Celta de Vigo (8.),,5,7,6,0,13,7,8,1,47,Celta de
2014,RCD Espanyol Barcelona (10.),,4,7,8,1,2,5,16,4,47,RCD Espanyol
2014,Rayo Vallecano (11.),,2,11,14,0,1,8,7,3,46,Rayo Vallecano
2014,Real Sociedad (12.),,7,5,8,0,8,6,8,2,44,Real Sociedad
2014,Athletic Bilbao (7.),,4,8,7,0,8,4,10,1,42,Athletic Bilbao
2014,M¨¢laga CF (9.),,3,7,4,0,10,8,6,4,42,M¨¢laga CF
2014,Elche CF (13.),,5,7,5,1,6,4,4,3,35,Elche CF
2014,Deportivo de La Coru?a (17.),,3,5,6,0,5,3,10,3,35,Deportivo de
2014,UD Almer¨ªa (19.),,5,2,11,1,5,6,4,1,35,UD Almer¨ªa
2014,Levante UD (15.),,3,4,6,0,3,11,5,2,34,Levante UD
2014,SD Eibar (16.),,5,2,13,0,7,3,3,1,34,SD Eibar
2014,Getafe CF (14.),,1,7,6,0,4,4,7,4,33,Getafe CF
2014,Granada CF (18.),,7,1,4,0,5,5,7,0,29,Granada CF
2014,C¨®rdoba CF (20.),,5,3,2,0,5,1,5,1,22,C¨®rdoba CF
2015,FC Barcelona (1.),,11,15,16,0,25,20,22,3,112,FC Barcelona
2015,Real Madrid (2.),,18,22,20,0,11,12,22,5,110,Real Madrid
2015,Atl¨¦tico Madrid (3.),,9,6,8,1,11,8,17,3,63,Atl¨¦tico Madrid
2015,Athletic Bilbao (5.),,8,11,9,0,9,11,8,2,58,Athletic Bilbao
2015,Rayo Vallecano (18.),,16,5,7,1,7,10,6,0,52,Rayo Vallecano
2015,Celta de Vigo (6.),,6,12,10,0,5,5,13,0,51,Celta de
2015,Sevilla FC (7.),,5,7,7,2,11,9,9,1,51,Sevilla FC
2015,SD Eibar (13.),,10,7,8,0,7,10,6,1,49,SD Eibar
2015,Valencia CF (11.),,5,6,7,2,7,5,12,2,46,Valencia CF
2015,Granada CF (17.),,4,8,6,1,8,7,9,3,46,Granada CF
2015,Real Sociedad (9.),,12,6,7,0,5,4,10,1,45,Real Sociedad
2015,UD Las Palmas (12.),,5,5,6,2,10,6,9,2,45,UD Las
2015,Deportivo de La Coru?a (15.),,3,13,6,0,8,5,8,2,45,Deportivo de
2015,Villarreal CF (4.),,5,8,6,0,7,8,7,3,44,Villarreal CF
2015,RCD Espanyol Barcelona (14.),,9,5,5,0,11,4,5,1,40,RCD Espanyol
2015,Sporting Gij¨®n (16.),,8,7,4,1,5,4,8,3,40,Sporting Gij¨®n
2015,M¨¢laga CF (8.),,5,5,6,1,3,5,10,3,38,M¨¢laga CF
