date,weekday,league,home_away,half,overtime
2017-05-21,周日014,日乙,千叶市原(-1)VS熊本深红,进行中,奖析讯
2017-05-21,周日010,日乙,町田泽维(-1)VS大分三神,进行中,奖析讯
2017-05-21,周日009,日乙,爱媛FC(-1)VS名古屋鲸,进行中,奖析讯
2017-05-21,周日008,日乙,东京绿茵(-1)VS京都,1:0,1:2
2017-05-21,周日007,日乙,山形山神(-1)VS山口雷诺,1:0,3:2
2017-05-21,周日006,日乙,水户蜀葵(+1)VS德岛漩涡,0:1,1:1
2017-05-21,周日005,日乙,赞岐釜玉(-1)VS群马温泉,1:1,1:2
2017-05-21,周日003,日乙,金泽塞维(+1)VS福冈黄蜂,0:3,0:5
2017-05-21,周日002,日乙,松本山雅(-1)VS湘南海洋,0:0,1:2
2017-05-21,周日001,日乙,冈山绿雉(+1)VS横滨FC,1:0,2:1
2017-05-17,周三011,日乙,横滨FC(-1)VS赞岐釜玉,1:0,2:1
2017-05-17,周三010,日乙,东京绿茵(+1)VS千叶市原,0:0,3:0
2017-05-17,周三009,日乙,长崎航海(-1)VS大分三神,0:0,2:1
2017-05-17,周三008,日乙,德岛漩涡(-1)VS金泽塞维,1:1,1:1
2017-05-17,周三007,日乙,群马温泉(+1)VS山口雷诺,1:0,2:1
2017-05-17,周三006,日乙,湘南海洋(-1)VS福冈黄蜂,0:1,0:3
2017-05-17,周三005,日乙,名古屋鲸(-1)VS町田泽维,1:0,2:1
2017-05-17,周三004,日乙,山形山神(+1)VS松本山雅,1:0,1:0
2017-05-17,周三003,日乙,京都(-1)VS水户蜀葵,0:1,1:1
2017-05-17,周三002,日乙,岐阜FC(-1)VS熊本深红,0:1,1:2
2017-05-17,周三001,日乙,爱媛FC(-1)VS冈山绿雉,0:0,2:0
2017-05-13,周六013,日乙,金泽塞维(+1)VS山形山神,0:0,1:1
2017-05-13,周六012,日乙,德岛漩涡(-1)VS岐阜FC,0:0,1:1
2017-05-13,周六011,日乙,熊本深红(+1)VS湘南海洋,0:0,0:1
