date	weekday	league	home_away	half	overtime	goals
2017/3/19	周日020	德乙	德累斯顿(-1)VS桑德豪森	1:0	2:0	2
2017/3/18	周六016	德乙	菲尔特(+1)VS斯图加特	1:0	1:0	1
2017/3/18	周六015	德乙	圣保利(-1)VS汉诺威96	0:0	0:0	0
2017/3/18	周五004	德乙	慕1860(-1)VS维尔茨堡	0:0	2:1	3
2017/3/18	周五003	德乙	不伦瑞克(-1)VS海登海姆	1:1	3:2	5
2017/3/18	周五002	德乙	比勒费(-1)VS凯泽	0:0	2:0	2
2017/3/14	周一016	德乙	杜塞多夫(-1)VS不伦瑞克	1:0	1:2	3
2017/3/12	周日019	德乙	桑德豪森(-1)VS菲尔特	1:0	1:1	2
2017/3/12	周日018	德乙	纽伦堡(-1)VS比勒费	1:0	1:0	1
2017/3/12	周日017	德乙	凯泽(-1)VS海登海姆	0:0	1:1	2
2017/3/11	周六016	德乙	汉诺威96(-1)VS慕1860	0:0	1:0	1
2017/3/11	周六015	德乙	维尔茨堡(-1)VS德累斯顿	0:0	0:2	2
2017/3/11	周五007	德乙	斯图加特(-1)VS波鸿	0:1	1:1	2
2017/3/11	周五006	德乙	圣保利(-1)VS柏林联合	0:1	1:2	3
2017/3/11	周五005	德乙	奥厄(-1)VS卡斯鲁厄	1:0	1:0	1
2017/3/7	周一003	德乙	不伦瑞克(+1)VS斯图加特	1:1	1:1	2
2017/3/5	周日022	德乙	菲尔特(-1)VS纽伦堡	0:0	1:0	1
2017/3/5	周日021	德乙	比勒费(-1)VS奥厄	2:0	2:2	4
2017/3/5	周日020	德乙	海登海姆(-1)VS桑德豪森	1:2	2:2	4
2017/3/4	周六020	德乙	慕1860(-1)VS圣保利	1:2	1:2	3
2017/3/4	周六019	德乙	卡斯鲁厄(+1)VS汉诺威96	1:0	2:0	2
2017/3/4	周五004	德乙	波鸿(-1)VS杜塞多夫	1:0	1:2	3
2017/3/4	周五003	德乙	德累斯顿(-1)VS凯泽	2:2	3:3	6
2017/3/4	周五002	德乙	柏林联合(-1)VS维尔茨堡	1:0	2:0	2
2017/2/28	周一006	德乙	圣保利(-1)VS卡斯鲁厄	1:0	5:0	5
2017/2/26	周日020	德乙	斯图加特(-1)VS凯泽	0:0	2:0	2
2017/2/26	周日019	德乙	奥厄(+1)VS德累斯顿	0:4	1:4	5
2017/2/26	周日018	德乙	纽伦堡(-1)VS波鸿	0:1	0:1	1
2017/2/25	周六013	德乙	汉诺威96(-1)VS比勒费	1:2	2:2	4
2017/2/25	周六012	德乙	杜塞多夫(-1)VS海登海姆	0:0	0:0	0
2017/2/25	周五004	德乙	桑德豪森(-1)VS不伦瑞克	0:0	0:1	1
2017/2/25	周五003	德乙	维尔茨堡(-1)VS菲尔特	0:0	1:1	2
2017/2/25	周五002	德乙	柏林联合(-1)VS慕1860	1:0	2:0	2
2017/2/21	周一007	德乙	慕1860(-1)VS纽伦堡	2:0	2:0	2
2017/2/19	周日007	德乙	卡斯鲁厄(+1)VS柏林联合	0:2	1:2	3
