date	weekday	league	home_away	half	overtime	goals
2016/4/24	周日018	德乙	比勒费(-1)VS菲尔特	1:1	4:2	6
2016/4/23	周六014	德乙	纽伦堡(-1)VS柏林联合	0:2	6:2	8
2016/4/23	周六013	德乙	海登海姆(-1)VS帕德博恩	1:1	1:1	2
2016/4/23	周五004	德乙	波鸿(-1)VS卡斯鲁厄	0:0	1:1	2
2016/4/23	周五003	德乙	弗赖堡(-1)VS杜伊斯堡	2:0	3:0	3
2016/4/23	周五002	德乙	杜塞多夫(-1)VS圣保利	1:0	1:1	2
2016/4/19	周一005	德乙	不伦瑞克(+1)VS弗赖堡	0:0	2:2	4
2016/4/17	周日020	德乙	菲尔特(-1)VS杜塞多夫	3:1	3:1	4
2016/4/17	周日019	德乙	比勒费(-1)VS凯泽	0:0	0:1	1
2016/4/17	周日018	德乙	柏林联合(-1)VS海登海姆	1:0	1:0	1
2016/4/16	周六014	德乙	卡斯鲁厄(-1)VS纽伦堡	1:1	2:1	3
2016/4/16	周六013	德乙	圣保利(+1)VS波鸿	0:0	2:0	2
2016/4/16	周五007	德乙	莱红牛(-1)VS桑德豪森	0:0	0:1	1
2016/4/16	周五006	德乙	杜伊斯堡(-1)VS慕1860	0:0	2:1	3
2016/4/16	周五005	德乙	FSV法兰(+1)VS帕德博恩	0:0	0:2	2
2016/4/12	周一015	德乙	杜塞多夫(+1)VS莱红牛	1:1	1:3	4
2016/4/10	周日021	德乙	弗赖堡(-1)VS圣保利	2:0	4:3	7
2016/4/10	周日020	德乙	纽伦堡(-1)VS杜伊斯堡	0:1	1:2	3
2016/4/10	周日019	德乙	凯泽(-1)VS卡斯鲁厄	0:0	0:0	0
2016/4/9	周六018	德乙	波鸿(-1)VSFSV法兰	2:1	4:1	5
2016/4/9	周六017	德乙	桑德豪森(-1)VS比勒费	1:1	1:4	5
2016/4/9	周五005	德乙	慕1860(-1)VS菲尔特	0:1	0:1	1
2016/4/9	周五004	德乙	帕德博恩(-1)VS柏林联合	0:4	0:4	4
2016/4/9	周五003	德乙	海登海姆(-1)VS不伦瑞克	0:2	2:2	4
2016/4/5	周一005	德乙	菲尔特(+1)VS弗赖堡	1:2	2:3	5
2016/4/3	周日021	德乙	卡斯鲁厄(-1)VS慕1860	3:1	3:1	4
2016/4/3	周日020	德乙	FSV法兰(+1)VS纽伦堡	0:0	0:3	3
2016/4/3	周日019	德乙	凯泽(-1)VS桑德豪森	1:0	2:0	2
2016/4/2	周六016	德乙	莱红牛(-1)VS波鸿	0:0	3:1	4
2016/4/2	周六015	德乙	比勒费(-1)VS杜塞多夫	0:0	0:0	0
2016/4/2	周五006	德乙	杜伊斯堡(+1)VS海登海姆	0:1	0:2	2
2016/4/2	周五005	德乙	圣保利(-1)VS柏林联合	0:0	0:0	0
2016/4/2	周五004	德乙	不伦瑞克(-1)VS帕德博恩	2:1	2:1	3
2016/3/22	周一001	德乙	弗赖堡(-1)VS卡斯鲁厄	0:0	1:0	1
2016/3/20	周日026	德乙	波鸿(-1)VS菲尔特	1:1	2:2	4
2016/3/20	周日025	德乙	慕1860(-1)VS比勒费	1:0	1:1	2
2016/3/20	周日024	德乙	纽伦堡(+1)VS莱红牛	0:0	3:1	4
2016/3/19	周六014	德乙	桑德豪森(+1)VS圣保利	0:2	0:2	2
2016/3/19	周六013	德乙	杜塞多夫(+1)VS凯泽	3:1	4:3	7
2016/3/19	周五006	德乙	帕德博恩(-1)VS杜伊斯堡	0:0	0:0	0
2016/3/19	周五005	德乙	柏林联合(-1)VS不伦瑞克	0:0	3:1	4
2016/3/19	周五004	德乙	海登海姆(-1)VSFSV法兰	0:1	2:2	4
2016/3/15	周一012	德乙	凯泽(-1)VS波鸿	0:0	0:2	2
2016/3/13	周日021	德乙	莱红牛(-1)VS慕1860	0:0	2:1	3
2016/3/13	周日020	德乙	FSV法兰(+1)VS弗赖堡	0:1	1:3	4
2016/3/13	周日019	德乙	卡斯鲁厄(-1)VS海登海姆	0:0	0:0	0
2016/3/12	周六017	德乙	桑德豪森(-1)VS杜塞多夫	0:0	1:0	1
2016/3/12	周六016	德乙	杜伊斯堡(+1)VS柏林联合	0:0	2:1	3
2016/3/12	周五007	德乙	比勒费(+1)VS纽伦堡	0:0	0:4	4
2016/3/12	周五006	德乙	菲尔特(-1)VS不伦瑞克	1:0	3:0	3
2016/3/12	周五005	德乙	圣保利(-1)VS帕德博恩	0:2	3:4	7
2016/3/8	周一005	德乙	弗赖堡(+1)VS莱红牛	1:0	2:1	3
2016/3/6	周日024	德乙	波鸿(-1)VS比勒费	1:0	2:2	4
2016/3/6	周日023	德乙	不伦瑞克(-1)VS杜伊斯堡	0:0	1:1	2
2016/3/6	周日022	德乙	海登海姆(-1)VS圣保利	0:0	2:0	2
2016/3/5	周六011	德乙	帕德博恩(-1)VS菲尔特	1:0	1:1	2
2016/3/5	周六010	德乙	柏林联合(-1)VSFSV法兰	3:0	4:0	4
2016/3/5	周五019	德乙	纽伦堡(-1)VS凯泽	1:1	2:1	3
2016/3/5	周五003	德乙	慕1860(-1)VS桑德豪森	2:1	3:2	5
2016/3/5	周五002	德乙	杜塞多夫(-1)VS卡斯鲁厄	0:0	0:1	1
2016/3/4	周四002	德乙	圣保利(-1)VS不伦瑞克	0:0	1:0	1
2016/3/3	周三011	德乙	莱红牛(-1)VS海登海姆	0:1	3:1	4
2016/3/3	周三010	德乙	FSV法兰(-1)VS杜伊斯堡	1:0	3:3	6
2016/3/3	周三009	德乙	比勒费(+1)VS弗赖堡	1:3	1:4	5
2016/3/2	周二014	德乙	桑德豪森(+1)VS纽伦堡	0:1	0:2	2
2016/3/2	周二013	德乙	菲尔特(-1)VS柏林联合	1:0	2:0	2
2016/3/2	周二012	德乙	卡斯鲁厄(-1)VS帕德博恩	0:0	0:0	0
2016/3/2	周二011	德乙	杜塞多夫(+1)VS波鸿	1:0	1:3	4
2016/3/2	周二010	德乙	凯泽(-1)VS慕1860	0:1	0:1	1
2016/2/28	周日019	德乙	杜伊斯堡(+1)VS圣保利	0:0	0:2	2
2016/2/28	周日018	德乙	不伦瑞克(-1)VSFSV法兰	0:0	0:0	0
2016/2/28	周日017	德乙	海登海姆(-1)VS比勒费	0:0	3:2	5
2016/2/27	周六013	德乙	波鸿(-1)VS桑德豪森	2:0	3:2	5
2016/2/27	周六012	德乙	慕1860(-1)VS杜塞多夫	1:0	3:2	5
2016/2/27	周六011	德乙	弗赖堡(-1)VS凯泽	1:0	2:0	2
2016/2/27	周五006	德乙	帕德博恩(+1)VS莱红牛	0:0	0:1	1
2016/2/27	周五005	德乙	柏林联合(-1)VS卡斯鲁厄	1:1	2:1	3
2016/2/27	周五004	德乙	纽伦堡(-1)VS菲尔特	1:1	2:1	3
2016/2/23	周一002	德乙	杜塞多夫(+1)VS纽伦堡	1:0	1:1	2
2016/2/21	周日009	德乙	慕1860(+1)VS波鸿	1:1	1:1	2
2016/2/21	周日008	德乙	桑德豪森(+1)VS弗赖堡	0:0	0:2	2
2016/2/21	周日007	德乙	比勒费(-1)VS帕德博恩	0:1	1:1	2
2016/2/20	周六006	德乙	卡斯鲁厄(-1)VS不伦瑞克	1:1	2:2	4
2016/2/20	周六005	德乙	凯泽(-1)VS海登海姆	0:1	2:2	4
2016/2/20	周五004	德乙	菲尔特(-1)VS杜伊斯堡	0:0	1:1	2
2016/2/20	周五003	德乙	莱红牛(-1)VS柏林联合	2:0	3:0	3
2016/2/20	周五002	德乙	圣保利(-1)VSFSV法兰	1:2	1:3	4
2016/2/16	周一110	德乙	纽伦堡(-1)VS波鸿	0:0	1:1	2
2016/2/14	周日109	德乙	弗赖堡(-1)VS杜塞多夫	1:1	1:2	3
2016/2/14	周日108	德乙	不伦瑞克(-1)VS比勒费	1:0	1:0	1
2016/2/14	周日107	德乙	柏林联合(-1)VS慕1860	1:0	3:0	3
2016/2/9	周一003	德乙	比勒费(-1)VS杜伊斯堡	2:1	2:1	3
2016/2/7	周日008	德乙	菲尔特(-1)VS圣保利	0:1	0:2	2
2016/2/7	周日007	德乙	莱红牛(-1)VS不伦瑞克	2:0	2:0	2
2016/2/7	周日006	德乙	卡斯鲁厄(-1)VSFSV法兰	0:0	1:1	2
2016/2/6	周六006	德乙	慕1860(+1)VS纽伦堡	0:1	0:1	1
2016/2/6	周六005	德乙	杜塞多夫(-1)VS海登海姆	0:0	0:1	1
2016/2/6	周五007	德乙	波鸿(-1)VS弗赖堡	1:0	2:0	2
2016/2/6	周五006	德乙	桑德豪森(-1)VS帕德博恩	0:0	1:0	1
2016/2/6	周五005	德乙	凯泽(-1)VS柏林联合	2:0	2:2	4
2015/12/22	周一001	德乙	帕德博恩(-1)VS杜塞多夫	0:0	0:0	0
2015/12/20	周日009	德乙	弗赖堡(-1)VS慕1860	2:0	3:0	3
2015/12/20	周日008	德乙	杜伊斯堡(+1)VS波鸿	0:0	0:0	0
2015/12/20	周日007	德乙	不伦瑞克(-1)VS凯泽	1:0	1:1	2
2015/12/19	周六005	德乙	菲尔特(+1)VS莱红牛	0:0	1:2	3
2015/12/19	周六004	德乙	海登海姆(+1)VS纽伦堡	0:1	0:3	3
2015/12/19	周五004	德乙	柏林联合(-1)VS桑德豪森	0:0	1:0	1
2015/12/19	周五003	德乙	FSV法兰(+1)VS比勒费	1:0	1:2	3
2015/12/19	周五002	德乙	圣保利(-1)VS卡斯鲁厄	1:1	1:2	3
2015/12/15	周一001	德乙	比勒费(-1)VS圣保利	0:0	0:0	0
2015/12/13	周日009	德乙	纽伦堡(-1)VS弗赖堡	1:0	2:1	3
2015/12/13	周日008	德乙	莱红牛(-1)VSFSV法兰	0:0	3:1	4
2015/12/13	周日007	德乙	凯泽(-1)VS杜伊斯堡	0:0	2:0	2
2015/12/12	周六005	德乙	卡斯鲁厄(-1)VS菲尔特	0:0	1:0	1
2015/12/12	周六004	德乙	杜塞多夫(-1)VS柏林联合	0:1	0:3	3
2015/12/12	周五004	德乙	慕1860(-1)VS海登海姆	1:1	1:3	4
2015/12/12	周五003	德乙	桑德豪森(+1)VS不伦瑞克	0:0	0:2	2
2015/12/12	周五002	德乙	波鸿(-1)VS帕德博恩	3:0	4:0	4
2015/12/8	周一002	德乙	杜塞多夫(-1)VS不伦瑞克	1:0	1:0	1
2015/12/6	周日011	德乙	波鸿(-1)VS海登海姆	0:1	1:1	2
2015/12/6	周日010	德乙	莱红牛(-1)VS杜伊斯堡	1:1	4:2	6
2015/12/6	周日009	德乙	凯泽(-1)VS圣保利	0:1	1:2	3
2015/12/5	周六005	德乙	弗赖堡(-1)VS柏林联合	2:0	3:0	3
2015/12/5	周六004	德乙	比勒费(-1)VS卡斯鲁厄	0:1	2:1	3
2015/12/5	周五009	德乙	慕1860(-1)VSFSV法兰	0:1	0:1	1
2015/12/5	周五008	德乙	桑德豪森(+1)VS菲尔特	0:1	1:1	2
2015/12/5	周五007	德乙	纽伦堡(-1)VS帕德博恩	1:0	2:1	3
2015/12/1	周一015	德乙	卡斯鲁厄(+1)VS莱红牛	0:0	0:1	1
2015/11/29	周日012	德乙	FSV法兰(+1)VS杜塞多夫	0:2	1:2	3
2015/11/29	周日011	德乙	圣保利(-1)VS纽伦堡	0:2	0:4	4
2015/11/29	周日010	德乙	杜伊斯堡(+1)VS桑德豪森	0:0	3:0	3
2015/11/28	周六006	德乙	帕德博恩(-1)VS慕1860	1:0	4:4	8
2015/11/28	周六005	德乙	柏林联合(-1)VS比勒费	1:0	1:1	2
2015/11/28	周五005	德乙	菲尔特(-1)VS凯泽	2:0	2:4	6
2015/11/28	周五004	德乙	不伦瑞克(-1)VS波鸿	1:0	1:0	1
2015/11/28	周五003	德乙	海登海姆(+1)VS弗赖堡	1:1	1:2	3
2015/11/24	周一014	德乙	纽伦堡(-1)VS不伦瑞克	1:0	2:1	3
2015/11/22	周日018	德乙	海登海姆(-1)VS菲尔特	0:1	1:2	3
2015/11/22	周日017	德乙	弗赖堡(-1)VS帕德博恩	3:0	4:1	5
2015/11/22	周日016	德乙	凯泽(-1)VSFSV法兰	0:1	1:1	2
2015/11/21	周六008	德乙	慕1860(-1)VS圣保利	0:0	2:0	2
2015/11/21	周六007	德乙	比勒费(+1)VS莱红牛	0:1	0:1	1
2015/11/21	周五004	德乙	波鸿(-1)VS柏林联合	1:1	1:1	2
2015/11/21	周五003	德乙	桑德豪森(+1)VS卡斯鲁厄	2:0	3:1	4
2015/11/21	周五002	德乙	杜塞多夫(-1)VS杜伊斯堡	0:0	1:1	2
2015/11/10	周一006	德乙	圣保利(-1)VS杜塞多夫	2:0	4:0	4
2015/11/8	周日018	德乙	不伦瑞克(-1)VS慕1860	0:0	0:0	0
2015/11/8	周日017	德乙	帕德博恩(-1)VS海登海姆	1:0	1:1	2
2015/11/8	周日016	德乙	莱红牛(-1)VS凯泽	0:1	0:2	2
2015/11/7	周六015	德乙	柏林联合(-1)VS纽伦堡	1:1	3:3	6
2015/11/7	周六014	德乙	杜伊斯堡(+1)VS弗赖堡	1:0	1:1	2
2015/11/7	周五005	德乙	菲尔特(-1)VS比勒费	0:0	0:0	0
2015/11/7	周五004	德乙	卡斯鲁厄(-1)VS波鸿	1:0	3:0	3
2015/11/7	周五003	德乙	FSV法兰(+1)VS桑德豪森	0:0	0:1	1
2015/11/3	周一006	德乙	纽伦堡(-1)VS卡斯鲁厄	0:0	0:0	0
2015/11/1	周日019	德乙	慕1860(-1)VS杜伊斯堡	0:0	1:0	1
2015/11/1	周日018	德乙	桑德豪森(+1)VS莱红牛	1:1	1:2	3
2015/11/1	周日017	德乙	弗赖堡(-1)VS不伦瑞克	2:0	2:2	4
2015/10/31	周六006	德乙	帕德博恩(-1)VSFSV法兰	1:0	1:1	2
2015/10/31	周六005	德乙	海登海姆(-1)VS柏林联合	0:1	0:2	2
2015/10/31	周五004	德乙	杜塞多夫(-1)VS菲尔特	0:0	1:0	1
2015/10/31	周五003	德乙	波鸿(-1)VS圣保利	1:1	1:1	2
2015/10/31	周五002	德乙	凯泽(-1)VS比勒费	0:0	0:2	2
2015/10/25	周日021	德乙	圣保利(+1)VS弗赖堡	0:0	1:0	1
2015/10/25	周日020	德乙	不伦瑞克(-1)VS海登海姆	0:0	1:0	1
2015/10/25	周日019	德乙	比勒费(-1)VS桑德豪森	0:0	0:0	0
2015/10/24	周六014	德乙	杜伊斯堡(+1)VS纽伦堡	0:0	0:0	0
2015/10/24	周六013	德乙	卡斯鲁厄(-1)VS凯泽	1:0	2:0	2
2015/10/24	周六012	德乙	柏林联合(-1)VS帕德博恩	0:2	0:2	2
2015/10/24	周五005	德乙	菲尔特(-1)VS慕1860	0:0	1:0	1
2015/10/24	周五004	德乙	莱红牛(-1)VS杜塞多夫	1:0	2:1	3
2015/10/24	周五003	德乙	FSV法兰(+1)VS波鸿	0:2	3:2	5
2015/10/20	周一008	德乙	慕1860(-1)VS卡斯鲁厄	0:1	0:1	1
2015/10/18	周日021	德乙	弗赖堡(-1)VS菲尔特	1:0	5:2	7
2015/10/18	周日020	德乙	波鸿(-1)VS莱红牛	0:0	0:1	1
2015/10/18	周日019	德乙	海登海姆(-1)VS杜伊斯堡	0:0	1:0	1
2015/10/17	周六013	德乙	纽伦堡(-1)VSFSV法兰	0:0	1:1	2
2015/10/17	周六012	德乙	柏林联合(-1)VS圣保利	2:1	3:3	6
2015/10/17	周五004	德乙	桑德豪森(+1)VS凯泽	1:0	1:0	1
2015/10/17	周五003	德乙	帕德博恩(-1)VS不伦瑞克	1:0	2:0	2
2015/10/17	周五002	德乙	杜塞多夫(-1)VS比勒费	1:0	1:0	1
2015/10/6	周一001	德乙	杜伊斯堡(+1)VS帕德博恩	0:0	1:0	1
2015/10/4	周日020	德乙	莱红牛(-1)VS纽伦堡	3:0	3:2	5
2015/10/4	周日019	德乙	卡斯鲁厄(+1)VS弗赖堡	0:0	1:1	2
2015/10/4	周日018	德乙	不伦瑞克(-1)VS柏林联合	1:1	2:1	3
2015/10/3	周六010	德乙	菲尔特(-1)VS波鸿	0:3	0:5	5
2015/10/3	周六009	德乙	圣保利(-1)VS桑德豪森	0:2	1:3	4
2015/10/3	周五004	德乙	比勒费(-1)VS慕1860	1:1	1:1	2
2015/10/3	周五003	德乙	FSV法兰(+1)VS海登海姆	0:3	0:4	4
2015/10/3	周五002	德乙	凯泽(-1)VS杜塞多夫	1:0	3:0	3
2015/9/29	周一009	德乙	不伦瑞克(-1)VS菲尔特	0:1	0:1	1
2015/9/27	周日018	德乙	慕1860(+1)VS莱红牛	1:1	2:2	4
2015/9/27	周日017	德乙	弗赖堡(-1)VSFSV法兰	1:0	2:0	2
2015/9/27	周日016	德乙	海登海姆(-1)VS卡斯鲁厄	1:0	1:1	2
2015/9/26	周六011	德乙	帕德博恩(-1)VS圣保利	0:0	0:0	0
2015/9/26	周六010	德乙	柏林联合(-1)VS杜伊斯堡	3:0	3:2	5
2015/9/26	周五003	德乙	纽伦堡(-1)VS比勒费	0:1	2:2	4
2015/9/26	周五002	德乙	波鸿(-1)VS凯泽	0:2	1:2	3
2015/9/26	周五001	德乙	杜塞多夫(-1)VS桑德豪森	0:0	0:1	1
2015/9/25	周四009	德乙	莱红牛(-1)VS弗赖堡	0:1	1:1	2
2015/9/23	周三021	德乙	菲尔特(-1)VS帕德博恩	1:0	3:0	3
2015/9/23	周三020	德乙	杜伊斯堡(+1)VS不伦瑞克	0:1	0:5	5
2015/9/23	周三019	德乙	FSV法兰(-1)VS柏林联合	0:1	3:2	5
2015/9/23	周三018	德乙	圣保利(-1)VS海登海姆	1:0	1:0	1
2015/9/22	周二005	德乙	桑德豪森(-1)VS慕1860	1:1	1:1	2
2015/9/22	周二004	德乙	凯泽(-1)VS纽伦堡	0:1	0:3	3
2015/9/22	周二003	德乙	卡斯鲁厄(-1)VS杜塞多夫	0:0	1:1	2
2015/9/22	周二002	德乙	比勒费(+1)VS波鸿	0:1	1:1	2
2015/9/20	周日021	德乙	柏林联合(-1)VS菲尔特	1:0	1:2	3
2015/9/20	周日020	德乙	杜伊斯堡(-1)VSFSV法兰	0:1	0:1	1
2015/9/20	周日019	德乙	不伦瑞克(-1)VS圣保利	0:0	0:0	0
2015/9/19	周六010	德乙	慕1860(+1)VS凯泽	1:0	1:1	2
2015/9/19	周六009	德乙	纽伦堡(-1)VS桑德豪森	1:0	2:0	2
2015/9/19	周六008	德乙	帕德博恩(-1)VS卡斯鲁厄	0:0	2:0	2
2015/9/19	周五004	德乙	波鸿(-1)VS杜塞多夫	1:0	1:1	2
2015/9/19	周五003	德乙	弗赖堡(-1)VS比勒费	0:1	2:2	4
2015/9/19	周五002	德乙	海登海姆(+1)VS莱红牛	0:1	1:1	2
2015/9/15	周一007	德乙	圣保利(-1)VS杜伊斯堡	0:0	2:0	2
2015/9/13	周日018	德乙	菲尔特(-1)VS纽伦堡	1:1	3:2	5
2015/9/13	周日017	德乙	杜塞多夫(-1)VS慕1860	2:0	3:0	3
2015/9/13	周日016	德乙	FSV法兰(+1)VS不伦瑞克	0:1	0:3	3
2015/9/12	周六011	德乙	卡斯鲁厄(-1)VS柏林联合	0:1	0:3	3
2015/9/12	周六010	德乙	比勒费(-1)VS海登海姆	0:0	0:0	0
2015/9/12	周五004	德乙	桑德豪森(+1)VS波鸿	1:1	1:1	2
2015/9/12	周五003	德乙	莱红牛(-1)VS帕德博恩	2:0	2:0	2
2015/9/12	周五002	德乙	凯泽(-1)VS弗赖堡	0:0	0:2	2
2015/9/1	周一002	德乙	波鸿(-1)VS慕1860	0:0	1:0	1
2015/8/30	周日007	德乙	纽伦堡(-1)VS杜塞多夫	0:0	1:0	1
2015/8/30	周日006	德乙	FSV法兰(-1)VS圣保利	0:0	1:0	1
2015/8/30	周日005	德乙	不伦瑞克(-1)VS卡斯鲁厄	2:0	6:0	6
2015/8/29	周六008	德乙	杜伊斯堡(+1)VS菲尔特	1:0	2:2	4
2015/8/29	周六007	德乙	帕德博恩(-1)VS比勒费	1:0	1:2	3
2015/8/29	周五003	德乙	弗赖堡(-1)VS桑德豪森	3:0	4:1	5
2015/8/29	周五002	德乙	柏林联合(+1)VS莱红牛	1:0	1:1	2
2015/8/29	周五001	德乙	海登海姆(+1)VS凯泽	0:1	3:1	4
2015/8/25	周一015	德乙	凯泽(-1)VS帕德博恩	1:0	1:0	1
2015/8/23	周日016	德乙	波鸿(-1)VS纽伦堡	1:1	2:1	3
2015/8/23	周日015	德乙	慕1860(-1)VS柏林联合	0:0	0:0	0
2015/8/23	周日014	德乙	莱红牛(-1)VS圣保利	0:1	0:1	1
2015/8/22	周六010	德乙	卡斯鲁厄(-1)VS杜伊斯堡	1:0	2:0	2
2015/8/22	周六009	德乙	杜塞多夫(-1)VS弗赖堡	1:2	1:2	3
2015/8/22	周五003	德乙	菲尔特(-1)VSFSV法兰	0:1	0:2	2
2015/8/22	周五002	德乙	桑德豪森(-1)VS海登海姆	0:0	0:0	0
2015/8/22	周五001	德乙	比勒费(-1)VS不伦瑞克	0:0	0:2	2
2015/8/18	周一007	德乙	纽伦堡(-1)VS慕1860	0:1	2:2	4
2015/8/16	周日016	德乙	圣保利(-1)VS菲尔特	2:1	3:2	5
2015/8/16	周日015	德乙	杜伊斯堡(-1)VS比勒费	0:2	2:2	4
2015/8/16	周日014	德乙	柏林联合(+1)VS凯泽	0:1	2:2	4
2015/8/15	周六013	德乙	弗赖堡(-1)VS波鸿	0:0	1:3	4
2015/8/15	周六012	德乙	不伦瑞克(+1)VS莱红牛	0:0	0:2	2
2015/8/15	周五004	德乙	帕德博恩(-1)VS桑德豪森	0:3	0:6	6
2015/8/15	周五003	德乙	FSV法兰(+1)VS卡斯鲁厄	1:1	1:2	3
2015/8/15	周五002	德乙	海登海姆(-1)VS杜塞多夫	0:0	1:0	1
2015/8/4	周一003	德乙	莱红牛(-1)VS菲尔特	1:2	2:2	4
2015/8/2	周日009	德乙	桑德豪森(-1)VS柏林联合	1:1	4:3	7
2015/8/2	周日008	德乙	卡斯鲁厄(-1)VS圣保利	1:2	1:2	3
2015/8/2	周日003	德乙	杜塞多夫(-1)VS帕德博恩	1:0	1:2	3
2015/8/1	周六020	德乙	慕1860(+1)VS弗赖堡	0:0	0:1	1
2015/8/1	周六014	德乙	波鸿(-1)VS杜伊斯堡	0:0	3:0	3
2015/8/1	周五014	德乙	凯泽(-1)VS不伦瑞克	0:0	0:0	0
2015/8/1	周五002	德乙	纽伦堡(-1)VS海登海姆	2:1	3:2	5
2015/8/1	周五001	德乙	比勒费(-1)VSFSV法兰	0:0	0:0	0
2015/7/28	周一008	德乙	弗赖堡(-1)VS纽伦堡	4:1	6:3	9
2015/7/26	周日018	德乙	不伦瑞克(-1)VS桑德豪森	1:2	1:3	4
2015/7/26	周日017	德乙	柏林联合(-1)VS杜塞多夫	1:0	1:1	2
2015/7/26	周日016	德乙	海登海姆(-1)VS慕1860	0:0	1:0	1
2015/7/26	周日013	德乙	帕德博恩(-1)VS波鸿	0:0	0:1	1
2015/7/25	周六015	德乙	FSV法兰(+1)VS莱红牛	0:0	0:1	1
2015/7/25	周六014	德乙	圣保利(-1)VS比勒费	0:0	0:0	0
2015/7/25	周六010	德乙	菲尔特(-1)VS卡斯鲁厄	0:0	1:0	1
2015/7/25	周五005	德乙	杜伊斯堡(+1)VS凯泽	0:3	1:3	4
2015/6/3	周二005	德乙	慕1860(-1)VS基尔	0:1	2:1	3
2015/5/30	周五004	德乙	基尔(-1)VS慕1860	0:0	0:0	0
2015/5/24	周日035	德乙	波鸿(-1)VS桑德豪森	0:0	0:0	0
2015/5/24	周日034	德乙	达姆施塔(-1)VS圣保利	0:0	1:0	1
2015/5/24	周日033	德乙	莱红牛(-1)VS菲尔特	2:0	2:0	2
2015/5/24	周日032	德乙	卡斯鲁厄(-1)VS慕1860	1:0	2:0	2
2015/5/24	周日031	德乙	杜塞多夫(-1)VSFSV法兰	2:2	2:3	5
2015/5/24	周日030	德乙	柏林联合(-1)VS不伦瑞克	0:0	2:0	2
2015/5/24	周日029	德乙	纽伦堡(-1)VS亚伦	1:0	2:1	3
2015/5/24	周日028	德乙	凯泽(-1)VS因戈施塔	1:0	1:1	2
2015/5/24	周日027	德乙	海登海姆(-1)VS奥厄	0:0	2:2	4
2015/5/17	周日038	德乙	亚伦(-1)VS海登海姆	1:2	2:4	6
2015/5/17	周日037	德乙	慕1860(-1)VS纽伦堡	0:1	2:1	3
2015/5/17	周日036	德乙	桑德豪森(-1)VS杜塞多夫	0:1	0:2	2
2015/5/17	周日035	德乙	菲尔特(-1)VS达姆施塔	0:0	1:0	1
2015/5/17	周日034	德乙	FSV法兰(-1)VS柏林联合	1:1	1:3	4
2015/5/17	周日033	德乙	圣保利(-1)VS波鸿	2:1	5:1	6
2015/5/17	周日032	德乙	因戈施塔(-1)VS莱红牛	1:1	2:1	3
2015/5/17	周日031	德乙	奥厄(+1)VS凯泽	0:0	0:0	0
2015/5/17	周日030	德乙	不伦瑞克(-1)VS卡斯鲁厄	0:1	0:2	2
2015/5/12	周一008	德乙	卡斯鲁厄(-1)VS达姆施塔	0:0	0:1	1
2015/5/10	周日017	德乙	波鸿(+1)VS因戈施塔	1:1	3:1	4
2015/5/10	周日016	德乙	纽伦堡(-1)VS不伦瑞克	1:0	3:1	4
2015/5/10	周日015	德乙	海登海姆(+1)VS菲尔特	2:0	3:0	3
2015/5/9	周六013	德乙	柏林联合(-1)VS奥厄	0:1	1:2	3
2015/5/9	周六012	德乙	凯泽(-1)VS圣保利	0:0	0:2	2
2015/5/9	周五006	德乙	莱红牛(-1)VS桑德豪森	0:1	0:4	4
2015/5/9	周五005	德乙	FSV法兰(-1)VS慕1860	0:0	0:1	1
2015/5/9	周五004	德乙	杜塞多夫(-1)VS亚伦	0:1	0:2	2
2015/5/5	周一009	德乙	因戈施塔(-1)VS纽伦堡	0:0	1:1	2
2015/5/3	周日033	德乙	亚伦(-1)VS波鸿	0:2	2:4	6
2015/5/3	周日032	德乙	慕1860(-1)VS柏林联合	0:1	0:3	3
2015/5/3	周日031	德乙	桑德豪森(-1)VS海登海姆	0:0	2:2	4
2015/5/3	周日030	德乙	菲尔特(-1)VS杜塞多夫	1:0	3:0	3
2015/5/3	周日029	德乙	圣保利(-1)VS莱红牛	1:0	1:0	1
2015/5/3	周日028	德乙	奥厄(+1)VS卡斯鲁厄	1:0	3:1	4
2015/5/2	周六012	德乙	达姆施塔(+1)VS凯泽	3:1	3:2	5
2015/5/2	周六011	德乙	不伦瑞克(-1)VSFSV法兰	0:0	2:0	2
2015/4/28	周一003	德乙	不伦瑞克(-1)VS奥厄	1:2	4:2	6
2015/4/26	周日021	德乙	FSV法兰(-1)VS亚伦	1:0	1:1	2
2015/4/26	周日020	德乙	柏林联合(+1)VS因戈施塔	0:1	2:2	4
2015/4/26	周日019	德乙	海登海姆(-1)VS圣保利	0:0	2:1	3
2015/4/25	周六013	德乙	卡斯鲁厄(-1)VS菲尔特	0:1	2:1	3
2015/4/25	周六012	德乙	杜塞多夫(-1)VS慕1860	0:1	1:1	2
2015/4/25	周五007	德乙	波鸿(+1)VS凯泽	0:1	0:2	2
2015/4/25	周五006	德乙	莱红牛(-1)VS达姆施塔	0:0	2:1	3
2015/4/25	周五005	德乙	纽伦堡(-1)VS桑德豪森	0:0	2:0	2
2015/4/21	周一008	德乙	凯泽(-1)VS莱红牛	1:1	1:1	2
2015/4/19	周日020	德乙	达姆施塔(-1)VS海登海姆	0:0	1:1	2
2015/4/19	周日019	德乙	菲尔特(-1)VS柏林联合	0:1	2:2	4
2015/4/19	周日018	德乙	奥厄(-1)VSFSV法兰	0:0	1:0	1
2015/4/18	周六013	德乙	亚伦(+1)VS不伦瑞克	0:0	2:1	3
2015/4/18	周六012	德乙	慕1860(-1)VS波鸿	0:1	2:1	3
